DATE,ALTSALES
2016-01-01,17.61
2016-02-01,17.64
2016-03-01,16.826
2016-04-01,17.247
2016-05-01,17.288
2016-06-01,17.334
2016-07-01,17.744
2016-08-01,17.541
2016-09-01,17.574
2016-10-01,17.606
2016-11-01,17.411
2016-12-01,17.906
2017-01-01,17.27
2017-02-01,17.446
2017-03-01,16.604
2017-04-01,16.798
2017-05-01,16.751
2017-06-01,16.816
2017-07-01,16.844
2017-08-01,16.642
2017-09-01,17.908
2017-10-01,17.909
2017-11-01,17.47
2017-12-01,17.343
2018-01-01,17.072
2018-02-01,17.16
2018-03-01,17.079
2018-04-01,17.211
2018-05-01,17.199
2018-06-01,17.234
2018-07-01,17.008
2018-08-01,16.89
2018-09-01,17.3
2018-10-01,17.605
2018-11-01,17.441
2018-12-01,17.501
2019-01-01,16.744
2019-02-01,16.674
2019-03-01,17.132
2019-04-01,16.427
2019-05-01,17.276
2019-06-01,17.282
2019-07-01,17.032
2019-08-01,17.11
2019-09-01,17.161
2019-10-01,16.725
2019-11-01,17.101
2019-12-01,16.869
2020-01-01,16.874
