"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-12",101.0054,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-01",100.7879,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-02",100.5225,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-03",100.3189,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-04",100.2735,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-05",100.3344,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-06",100.4549,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-07",100.4853,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-08",100.5932,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-09",100.8468,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-10",101.1075,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-11",101.2539,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-12",101.3376,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-01",101.4055,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-02",101.5091,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-03",101.544,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-04",101.5005,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-05",101.4136,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-06",101.4682,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-07",101.6078,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-08",101.6807,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-09",101.6701,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-10",101.6677,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-11",101.6372,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-12",101.6484,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-01",101.63,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-02",101.6048,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-03",101.5855,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-04",101.5376,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-05",101.4759,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-06",101.4661,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-07",101.4711,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-08",101.3757,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-09",101.2132,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-10",100.9523,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-11",100.6597,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-12",100.3294,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-01",100.0209,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-02",99.88136,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-03",99.79149,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-04",99.78217,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-05",99.81617,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-06",99.85917,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-07",99.8611,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-08",99.82106,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-09",99.80086,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-10",99.84165,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-11",99.89172,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-12",99.93521,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2015-12",99.16521,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2016-01",99.18478,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2016-02",99.20203,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2016-03",99.22601,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2016-04",99.25549,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2016-05",99.28772,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2016-06",99.3214,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2016-07",99.35714,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2016-08",99.40005,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2016-09",99.46046,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2016-10",99.54729,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2016-11",99.67927,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2016-12",99.86948,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2017-01",100.065,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2017-02",100.1922,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2017-03",100.1964,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2017-04",100.1504,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2017-05",100.152,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2017-06",100.272,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2017-07",100.454,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2017-08",100.6211,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2017-09",100.72,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2017-10",100.7804,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2017-11",100.8469,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2017-12",100.9484,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2018-01",101.0629,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2018-02",101.1488,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2018-03",101.1642,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2018-04",101.1137,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2018-05",100.9902,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2018-06",100.7814,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2018-07",100.5498,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2018-08",100.3746,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2018-09",100.3166,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2018-10",100.3262,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2018-11",100.3433,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2018-12",100.3301,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2019-01",100.2956,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2019-02",100.2582,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2019-03",100.2299,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2019-04",100.2032,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2019-05",100.1604,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2019-06",100.0818,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2019-07",99.97019,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2019-08",99.82676,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2019-09",99.66111,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2019-10",99.53259,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2019-11",99.51504,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2019-12",99.62447,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2015-12",99.8344,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-01",99.71667,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-02",99.3987,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-03",99.14854,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-04",99.15258,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-05",99.31837,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-06",99.33022,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-07",99.31844,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-08",99.37035,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-09",99.54199,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-10",99.74665,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-11",99.97086,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-12",100.0697,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2017-01",100.02,
