DATE,TOTALSA
2016-01-01,18.071
2016-02-01,18.08
2016-03-01,17.289
2016-04-01,17.665
2016-05-01,17.697
2016-06-01,17.729
2016-07-01,18.123
2016-08-01,17.916
2016-09-01,17.948
2016-10-01,17.967
2016-11-01,17.785
2016-12-01,18.279
2017-01-01,17.635
2017-02-01,17.833
2017-03-01,16.995
2017-04-01,17.214
2017-05-01,17.158
2017-06-01,17.236
2017-07-01,17.253
2017-08-01,17.067
2017-09-01,18.331
2017-10-01,18.334
2017-11-01,17.914
2017-12-01,17.801
2018-01-01,17.492
2018-02-01,17.637
2018-03-01,17.561
2018-04-01,17.673
2018-05-01,17.677
2018-06-01,17.735
2018-07-01,17.502
2018-08-01,17.393
2018-09-01,17.811
2018-10-01,18.112
2018-11-01,17.939
2018-12-01,18.006
2019-01-01,17.265
2019-02-01,17.185
2019-03-01,17.656
2019-04-01,16.997
2019-05-01,17.84
2019-06-01,17.832
2019-07-01,17.597
2019-08-01,17.645
2019-09-01,17.714
2019-10-01,17.23
2019-11-01,17.557
2019-12-01,17.339
