# ----------------------------------------
# All Web Site Data (DEPW)
# Audience Overview
# 20150101-20201201
# ----------------------------------------

Month Index,New Users
0000,"4,858"
0001,"4,527"
0002,"4,563"
0003,"4,153"
0004,"4,284"
0005,"3,881"
0006,"4,125"
0007,"4,217"
0008,"3,728"
0009,"3,724"
0010,"3,799"
0011,"4,332"
0012,"4,549"
0013,"3,910"
0014,"4,273"
0015,"3,909"
0016,"4,354"
0017,"4,275"
0018,"4,024"
0019,"4,283"
0020,"3,786"
0021,"3,832"
0022,"3,901"
0023,"4,200"
0024,"3,874"
0025,"4,329"
0026,"4,795"
0027,"3,357"
0028,"4,033"
0029,"3,384"
0030,"3,774"
0031,"3,841"
0032,"3,492"
0033,"4,169"
0034,"4,344"
0035,"4,243"
0036,"4,047"
0037,"3,742"
0038,"4,268"
0039,"4,063"
0040,"4,811"
0041,"6,049"
0042,"5,302"
0043,"5,432"
0044,"4,817"
0045,"4,519"
0046,"5,106"
0047,"4,704"
0048,"5,186"
0049,"5,175"
0050,"5,672"
0051,"5,512"
0052,"5,615"
0053,"5,248"
0054,"4,931"
0055,"6,998"
0056,"15,043"
0057,"16,023"
0058,"17,093"
0059,"16,598"
0060,"19,910"
0061,"18,403"
0062,"20,709"
0063,"18,813"
0064,"17,590"
0065,"20,548"
0066,"22,555"
0067,"21,322"
0068,"7,649"
0069,"8,284"
0070,"6,399"
0071,191
,"495,449"
