# ----------------------------------------
# All Web Site Data (DEPW)
# Audience Overview
# 20150101-20201201
# ----------------------------------------

Month Index,Pageviews
0000,"36,835"
0001,"36,671"
0002,"35,806"
0003,"37,319"
0004,"37,109"
0005,"24,909"
0006,"25,852"
0007,"26,650"
0008,"16,735"
0009,"23,419"
0010,"23,616"
0011,"29,701"
0012,"30,524"
0013,"26,115"
0014,"28,407"
0015,"25,753"
0016,"28,402"
0017,"27,177"
0018,"26,498"
0019,"28,079"
0020,"27,141"
0021,"27,432"
0022,"27,438"
0023,"27,300"
0024,"17,434"
0025,"19,047"
0026,"20,355"
0027,"14,787"
0028,"15,206"
0029,"15,454"
0030,"15,920"
0031,"18,811"
0032,"19,070"
0033,"27,429"
0034,"34,145"
0035,"30,920"
0036,"28,520"
0037,"27,764"
0038,"26,407"
0039,"24,153"
0040,"27,320"
0041,"24,632"
0042,"28,568"
0043,"33,100"
0044,"28,262"
0045,"29,236"
0046,"33,387"
0047,"31,833"
0048,"35,823"
0049,"36,545"
0050,"40,941"
0051,"37,122"
0052,"38,394"
0053,"33,606"
0054,"32,912"
0055,"36,687"
0056,"44,298"
0057,"45,383"
0058,"46,209"
0059,"49,836"
0060,"52,760"
0061,"50,144"
0062,"48,784"
0063,"41,934"
0064,"60,524"
0065,"58,745"
0066,"56,574"
0067,"54,289"
0068,"47,590"
0069,"57,479"
0070,"48,472"
0071,"1,592"
,"2,333,291"
