date,oil,ngf1,ngf2,bf90,lhpi,shpi,mfrm,lfrm,sfrm
2022-08-01,106.41,NA,NA,NA,NA,NA,NA,NA,NA
2022-07-01,110.84,NA,NA,NA,NA,NA,NA,NA,NA
2022-06-01,115.6,NA,NA,NA,NA,NA,NA,NA,NA
2022-05-01,122.94,NA,NA,NA,NA,NA,NA,NA,NA
2022-04-01,107.99,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-01,107.74,NA,NA,NA,NA,NA,NA,NA,NA
2022-02-01,98.96,NA,NA,NA,NA,NA,NA,NA,NA
2022-01-01,90.73,NA,NA,NA,NA,NA,NA,NA,NA
2021-12-01,77.97,NA,NA,NA,NA,NA,NA,NA,NA
2021-11-01,71.01,NA,NA,NA,NA,NA,NA,NA,NA
2021-10-01,82.87,NA,NA,NA,NA,NA,NA,NA,NA
2021-09-01,77.72,NA,NA,NA,NA,NA,NA,NA,NA
2021-08-01,71.43,NA,NA,NA,NA,NA,NA,NA,NA
2021-07-01,74.98,NA,NA,NA,NA,NA,2.1,2.8,2.45
2021-06-01,73.6,3.129,507,99.95,NA,NA,2.34,3.02,2.53
2021-05-01,68.53,2.986,286,99.97,314.419392,306.907019,2.27,2.95,2.59
2021-04-01,65.42,2.931,293,99.96,308.28968061,300.97258897,2.31,2.98,2.64
2021-03-01,63.07,2.608,412,99.95,302.23193457,295.13796187,2.45,3.17,2.84
2021-02-01,64.37,2.771,452,99.96,296.38642953,289.44576337,2.34,2.97,2.99
2021-01-01,54.41,2.564,943,99.99,291.51947062,284.72407519,2.2,2.73,2.8
2020-12-01,50.24,2.539,816,99.99,287.94331515,281.01401657,2.17,2.67,2.71
2020-11-01,46.43,2.882,636,99.99,284.19490056,277.13690104,2.28,2.72,3.16
2020-10-01,36.5,3.354,617,99.98,280.32985728,273.12487995,2.32,2.81,2.88
2020-09-01,40.65,2.527,368,99.93,276.26357927,268.96326332,2.4,2.9,2.9
2020-08-01,46.27,2.63,473,99.91,272.05677108,264.71478807,2.46,2.91,2.91
2020-07-01,43.02,1.799,306,99.89,267.72472719,260.37166599,2.51,2.99,2.94
2020-06-01,38.22,1.751,402,99.87,263.14262313,255.85704063,2.59,3.13,3.08
2020-05-01,29.01,1.849,340,99.84,259.74885982,252.48352383,2.62,3.15,3.13
2020-04-01,18.05,1.794,6126,99.83,259.78919292,252.48262652,2.77,3.23,3.14
2020-03-01,22.61,1.64,156,99.66,259.93954629,252.54545348,2.92,3.5,3.34
2020-02-01,50.19,1.684,194,99.21,257.87335154,250.47808799,2.95,3.45,3.2
2020-01-01,58.94,1.841,177,99.15,255.24490821,247.96877617,3,3.51,3.24
2019-12-01,67.96,2.189,158,99.11,253.2143674,245.84134235,3.19,3.74,3.45
2019-11-01,63.83,2.281,330,99.05,251.57785315,244.15709126,3.15,3.68,3.43
2019-10-01,60.52,2.633,230,98.99,249.98392935,242.52142087,3.19,3.78,3.43
2019-09-01,61.09,2.33,102,99.06,248.57596026,241.08658246,3.16,3.64,3.38
2019-08-01,60.11,2.285,54,99.01,247.36495043,239.82382862,3.06,3.58,3.31
2019-07-01,65.53,2.233,223,98.95,246.08286846,238.43786465,3.18,3.75,3.47
2019-06-01,65.6,2.308,92,98.9,245.26929133,237.47307056,3.16,3.73,3.39
2019-05-01,64.15,2.454,156,98.56,244.46520439,236.43797048,3.46,3.99,3.6
2019-04-01,71.91,2.575,59,98.51,243.55122258,235.24772851,3.64,4.2,3.77
2019-03-01,67.23,2.662,76,98.36,242.75885276,234.10761735,3.57,4.06,3.75
2019-02-01,65.28,2.812,95,98.08,242.73697032,233.66556609,3.77,4.35,3.84
2019-01-01,61.19,2.814,59,98.01,242.8809972,233.45004022,3.89,4.46,3.96
2018-12-01,51.55,2.94,188,98.06,242.65791456,232.66405424,4.01,4.55,4
2018-11-01,58.33,4.612,154,98.04,242.76062212,232.25815604,4.25,4.81,4.12
2018-10-01,75.24,3.261,49,98.07,243.02723697,231.96066324,4.29,4.86,4.14
2018-09-01,81.48,3.008,59,98.07,242.990361,231.39233258,4.16,4.72,3.97
2018-08-01,75.74,2.916,16,98,242.91474712,230.80507609,3.97,4.52,3.85
2018-07-01,73.62,2.782,23,98.01,242.75958937,230.17744055,4.02,4.54,3.87
2018-06-01,75.68,2.924,26,98,242.50200169,229.50420225,4.04,4.55,3.87
2018-05-01,75.18,2.952,83,98.03,242.12205413,228.74686434,4.06,4.56,3.8
2018-04-01,71.02,2.763,34,98.03,241.60654385,227.91876311,4.02,4.58,3.74
2018-03-01,65.87,2.733,49,98.11,240.59721545,226.72581699,3.9,4.44,3.66
2018-02-01,63.97,2.667,60,98.19,238.8066202,224.87218609,3.85,4.4,3.65
2018-01-01,66.28,2.995,135,98.24,236.51026259,222.68046308,3.62,4.15,3.52
2017-12-01,64.47,2.953,214,98.22,234.28805191,220.52479346,3.44,3.99,3.47
2017-11-01,61.06,3.025,147,98.25,231.91531984,218.38958888,3.3,3.9,3.32
2017-10-01,58.53,2.896,49,98.28,229.38930317,216.11858573,3.25,3.94,3.21
2017-09-01,55.2,3.007,26,98.22,226.94846027,213.99153798,3.13,3.83,3.2
2017-08-01,49.36,3.04,70,98.25,224.60748726,211.97127025,3.12,3.82,3.14
2017-07-01,49.97,2.794,79,98.29,222.5567783,210.23361428,3.2,3.92,3.18
2017-06-01,45.63,3.035,57,98.26,220.28635404,208.31137754,3.17,3.88,3.17
2017-05-01,48.69,3.07,71,98.28,217.75694332,206.17839642,3.19,3.95,3.07
2017-04-01,49.33,3.275,40,98.28,215.54238403,204.35460243,3.27,4.03,3.12
2017-03-01,50.43,3.19,27,98.22,212.96668764,202.20038732,3.39,4.14,3.18
2017-02-01,53.4,2.774,263,98.22,210.11986739,199.7760782,3.37,4.16,3.16
2017-01-01,52.19,3.117,44,98.22,207.79546711,197.84808799,3.4,4.19,3.2
2016-12-01,53.3,3.724,193,98.17,205.42592851,195.80018464,3.55,4.32,3.3
2016-11-01,44.8,3.352,28,98.22,203.11719409,193.82771495,3.25,4.03,3.12
2016-10-01,45.83,3.026,84,98.24,201.36615693,192.27456282,2.78,3.47,2.84
2016-09-01,44.63,2.906,75,98.29,199.62387442,190.74210874,2.72,3.42,2.81
2016-08-01,43.91,2.887,79,98.26,197.67419967,189.01483876,2.74,3.43,2.75
2016-07-01,38.97,2.876,38,98.17,195.71031076,187.2566811,2.78,3.48,2.78
2016-06-01,46.27,2.924,30,98.12,194.04819307,185.79902259,2.78,3.48,2.7
2016-05-01,45.15,2.288,180,98.01,192.32037012,184.28087151,2.89,3.64,2.87
2016-04-01,42.7,2.178,82,97.91,190.46548833,182.64666364,2.89,3.66,2.86
2016-03-01,34.33,1.959,57,97.79,188.89622786,181.30546139,2.98,3.71,2.9
2016-02-01,30.13,1.711,37,97.74,187.40812718,180.02937573,2.93,3.62,2.79
2016-01-01,29.11,2.298,56,97.81,185.72183792,178.60739328,3.07,3.79,2.9
2015-12-01,31.27,2.337,103,97.78,183.93869828,177.08619836,3.24,4.01,3.08
2015-11-01,38.93,2.235,27,97.76,182.08619444,175.52822923,3.18,3.95,3.01
2015-10-01,43.66,2.321,64,98.01,180.05793213,173.76230368,2.98,3.76,2.89
2015-09-01,43.58,2.524,62,97.97,177.94589584,171.94330082,3.08,3.86,2.91
2015-08-01,47.01,2.689,21,97.9,175.93857553,170.23675069,3.06,3.84,2.9
2015-07-01,50.51,2.716,22,97.91,173.86241453,168.40848806,3.17,3.98,2.95
2015-06-01,58.79,2.832,72,97.89,172.08036301,166.83390844,3.21,4.02,2.98
2015-05-01,60.47,2.642,88,97.87,170.71631874,165.64138613,3.11,3.87,2.9
2015-04-01,62.21,2.751,185,97.86,169.46457778,164.54724352,2.94,3.68,2.85
2015-03-01,51.06,2.64,32,98.03,168.09946152,163.34638744,2.97,3.69,2.92
2015-02-01,56.83,2.734,102,97.76,166.70448232,162.08776252,3.07,3.8,2.99
2015-01-01,44.83,2.691,56,97.62,165.51601544,161.102642,2.98,3.66,2.86
2014-12-01,52,3.033,77,97.45,164.18069503,159.96292145,3.15,3.87,3.01
2014-11-01,68.89,4.088,111,97.26,162.48545492,158.49505247,3.17,3.97,3.01
2014-10-01,81.97,3.873,156,97.3,160.6584489,156.85869772,3.13,3.98,2.94
2014-09-01,94.17,4.121,60,97.34,159.43754552,155.7933551,3.36,4.2,3.08
2014-08-01,99.99,4.065,26,97.38,158.70209399,155.19594638,3.25,4.1,2.97
2014-07-01,103.6,3.841,112,97.37,157.66385778,154.25590165,3.23,4.12,3.01
2014-06-01,108.59,4.461,45,97.35,156.57205474,153.26891625,3.22,4.14,2.98
2014-05-01,105.91,4.542,97,97.33,155.54871416,152.36246701,3.21,4.12,2.96
