date,GM,GM_v,F,F_v,TSLA,TSLA_v,AN,AN_v,MZDAY,MZDAY_v,XOM,XOM_v,TM,TM_v,LEA,LEA_v,BWA,BWA_v,VC,VC_v,GT,GT_v,NIO,NIO_v,HMC,HMC_v,RACE,RACE_v
2009-01-01,,,1.87,1017368400.0,,,9.28,44586300.0,,,76.48,844182900.0,63.51,22854200.0,,,16.88,37820500.0,,,6.17,128215000.0,,,22.66,30414300.0,,
2009-02-01,,,2.0,574172400.0,,,9.98,46517500.0,,,67.9,771508100.0,63.14,23065500.0,,,17.25,58747100.0,,,4.44,112541400.0,,,23.63,31980700.0,,
2009-03-01,,,2.63,963893100.0,,,13.88,72513200.0,,,68.1,933460300.0,63.3,24879800.0,,,20.3,66080100.0,,,6.26,117610900.0,,,23.7,32149400.0,,
2009-04-01,,,5.98,2468701200.0,,,17.71,76991600.0,,,66.67,632859600.0,79.16,24572300.0,,,28.95,69088900.0,,,10.99,148346000.0,,,29.06,27028800.0,,
2009-05-01,,,5.75,2367699800.0,,,15.88,72680800.0,,,69.35,530458500.0,80.15,17244500.0,,,32.25,50958900.0,,,11.45,127342300.0,,,29.03,20042400.0,,
2009-06-01,,,6.07,1823650100.0,,,17.35,63146700.0,,,69.91,596987800.0,75.53,13019800.0,,,34.15,43751000.0,,,11.26,117347300.0,,,27.37,17572200.0,,
2009-07-01,,,8.0,1857588800.0,,,20.68,65710000.0,,,70.39,560318900.0,84.18,11280400.0,,,33.19,49670000.0,,,17.02,136747400.0,,,32.13,15470000.0,,
2009-08-01,,,7.6,1711751600.0,,,18.98,62958300.0,,,69.15,437664700.0,85.19,10055700.0,,,29.67,41709300.0,,,16.49,104426400.0,,,31.33,11520000.0,,
2009-09-01,,,7.21,1410174900.0,,,18.08,58402100.0,,,68.61,419180700.0,78.57,10865300.0,,,30.26,44061300.0,,,17.03,98419600.0,,,30.31,11188900.0,,
2009-10-01,,,7.0,1469989800.0,,,17.24,82218500.0,,,71.67,501283200.0,78.89,11349400.0,,,30.32,41771900.0,,,12.88,167927700.0,,,30.97,16028500.0,,
2009-11-01,,,8.89,2284758600.0,,,17.65,55107400.0,22.9,0.0,75.07,356438100.0,78.54,8621100.0,,,30.21,23583200.0,,,13.71,93877200.0,,,30.99,10840200.0,,
2009-12-01,,,10.0,1313338600.0,,,19.15,42166600.0,23.1,400.0,68.19,648945000.0,84.16,7865700.0,67.64,10474700.0,33.22,17305900.0,,,14.1,60932900.0,,,33.9,9662200.0,,
2010-01-01,,,10.84,2556631300.0,,,18.0,36820800.0,23.1,0.0,64.43,596474300.0,77.0,16980097.0,68.8,16112200.0,35.09,28746600.0,,,13.34,77456800.0,,,33.91,10288700.0,,
2010-02-01,,,11.74,1612414400.0,,,17.75,36977100.0,25.95,1925.0,65.0,534843200.0,74.83,86416700.0,69.27,13809200.0,37.46,28083700.0,,,12.99,85179600.0,,,34.61,14426900.0,,
2010-03-01,,,12.57,3180990000.0,,,18.08,41229100.0,26.42,4935.0,66.98,582728200.0,80.42,34887200.0,79.35,15262300.0,38.18,42837200.0,,,12.64,88711000.0,,,35.29,9312600.0,,
2010-04-01,,,13.02,2545750200.0,,,20.2,60714000.0,29.71,43925.0,67.77,531285400.0,77.09,23745200.0,81.18,10690500.0,43.34,39738800.0,,,13.43,126527000.0,,,33.79,11084800.0,,
2010-05-01,,,11.73,2714125100.0,,,20.03,72021700.0,27.6,37340.0,60.46,768609600.0,72.34,20802600.0,67.67,23678200.0,37.26,47034300.0,,,11.9,129176700.0,,,30.39,16101800.0,,
2010-06-01,,,10.08,1788548000.0,,,19.5,57229700.0,23.85,26220.0,57.07,808522600.0,68.57,15398300.0,66.2,19715300.0,37.34,42787100.0,,,9.94,81215700.0,,,28.75,18331400.0,,
2010-07-01,,,12.77,1740320300.0,19.94,64575800.0,24.43,42077700.0,23.9,15260.0,59.68,613489500.0,70.23,14938100.0,78.17,9225700.0,43.86,43037900.0,,,10.67,106128800.0,,,31.77,11128000.0,,
2010-08-01,,,11.285,1339522800.0,19.48,15038200.0,22.56,34760600.0,22.84,16260.0,59.11,475629700.0,67.84,16058400.0,73.66,11824500.0,43.65,43357400.0,,,9.24,106546700.0,,,32.93,14421600.0,,
