date,close
2015-01-01,59.62
2015-02-01,61.5
2015-03-01,64.33
2015-04-01,61.55
2015-05-01,62.41
2015-06-01,62.98
2015-07-01,62.34
2015-08-01,59.84
2015-09-01,58.18
2015-10-01,63.19
2015-11-01,63.92
2015-12-01,59.66
2016-01-01,43.25
2016-02-01,51.47
2016-03-01,46.68
2016-04-01,50.65
2016-05-01,50.44
2016-06-01,46.98
2016-07-01,53.35
2016-08-01,47.35
2016-09-01,48.71
2016-10-01,43.87
2016-11-01,44.66
2016-12-01,48.65
2017-01-01,53.12
2017-02-01,45.9
2017-03-01,42.29
2017-04-01,42.0
2017-05-01,39.52
2017-06-01,42.16
2017-07-01,42.38
2017-08-01,45.37
2017-09-01,47.46
2017-10-01,47.4
2017-11-01,55.37
2017-12-01,51.33
2018-01-01,60.22
2018-02-01,50.21
2018-03-01,46.78
2018-04-01,46.19
2018-05-01,45.66
2018-06-01,48.58
2018-07-01,48.53
2018-08-01,45.35
2018-09-01,41.55
2018-10-01,40.48
2018-11-01,37.13
2018-12-01,35.7
2019-01-01,38.75
2019-02-01,35.26
2019-03-01,35.72
2019-04-01,41.93
2019-05-01,39.47
2019-06-01,41.94
2019-07-01,48.68
2019-08-01,47.46
2019-09-01,50.7
2019-10-01,50.85
2019-11-01,51.09
2019-12-01,48.63
2020-01-01,42.44
2020-02-01,42.73
