date,close
2015-01-01,14.71
2015-02-01,16.34
2015-03-01,16.14
2015-04-01,15.8
2015-05-01,15.17
2015-06-01,15.01
2015-07-01,14.83
2015-08-01,13.87
2015-09-01,13.57
2015-10-01,14.81
2015-11-01,14.33
2015-12-01,14.09
2016-01-01,11.94
2016-02-01,12.51
2016-03-01,13.5
2016-04-01,13.56
2016-05-01,13.49
2016-06-01,12.57
2016-07-01,12.66
2016-08-01,12.6
2016-09-01,12.07
2016-10-01,11.74
2016-11-01,11.96
2016-12-01,12.13
2017-01-01,12.36
2017-02-01,12.53
2017-03-01,11.64
2017-04-01,11.47
2017-05-01,11.12
2017-06-01,11.19
2017-07-01,11.22
2017-08-01,11.03
2017-09-01,11.97
2017-10-01,12.27
2017-11-01,12.52
2017-12-01,12.49
2018-01-01,10.97
2018-02-01,10.61
2018-03-01,11.08
2018-04-01,11.24
2018-05-01,11.55
2018-06-01,11.07
2018-07-01,10.04
2018-08-01,9.48
2018-09-01,9.25
2018-10-01,9.55
2018-11-01,9.41
2018-12-01,7.65
2019-01-01,8.8
2019-02-01,8.77
2019-03-01,8.78
2019-04-01,10.45
2019-05-01,9.52
2019-06-01,10.23
2019-07-01,9.53
2019-08-01,9.17
2019-09-01,9.16
2019-10-01,8.59
2019-11-01,9.06
2019-12-01,9.3
2020-01-01,8.82
2020-02-01,6.96
