date,close
2015-01-01,32.62
2015-02-01,37.31
2015-03-01,37.5
2015-04-01,35.06
2015-05-01,35.97
2015-06-01,33.33
2015-07-01,31.51
2015-08-01,29.44
2015-09-01,30.02
2015-10-01,34.91
2015-11-01,36.2
2015-12-01,34.01
2016-01-01,29.64
2016-02-01,29.44
2016-03-01,31.43
2016-04-01,31.8
2016-05-01,31.28
2016-06-01,28.3
2016-07-01,31.54
2016-08-01,31.92
2016-09-01,31.77
2016-10-01,31.6
2016-11-01,34.53
2016-12-01,34.84
2017-01-01,36.61
2017-02-01,36.84
2017-03-01,35.36
2017-04-01,34.64
2017-05-01,33.93
2017-06-01,34.93
2017-07-01,35.98
2017-08-01,36.54
2017-09-01,40.38
2017-10-01,42.98
2017-11-01,43.09
2017-12-01,40.99
2018-01-01,42.41
2018-02-01,39.35
2018-03-01,36.34
2018-04-01,36.74
2018-05-01,42.7
2018-06-01,39.4
2018-07-01,37.91
2018-08-01,36.05
2018-09-01,33.67
2018-10-01,36.59
2018-11-01,37.95
2018-12-01,33.45
2019-01-01,39.02
2019-02-01,39.48
2019-03-01,37.1
2019-04-01,38.95
2019-05-01,33.34
2019-06-01,38.53
2019-07-01,40.34
2019-08-01,37.09
2019-09-01,37.48
2019-10-01,37.16
2019-11-01,36.0
2019-12-01,36.6
2020-01-01,33.39
2020-02-01,30.5
