# ----------------------------------------
# All Web Site Data (DEPW)
# Audience Overview
# 20130401-20221029
# ----------------------------------------

Month Index,New Users,Avg. Session Duration
0000,"4,111",00:03:15
0001,"5,167",00:02:39
0002,"4,988",00:02:26
0003,"5,540",00:02:24
0004,"4,884",00:02:33
0005,"4,492",00:02:49
0006,"4,187",00:02:43
0007,"3,887",00:02:57
0008,"3,944",00:02:44
0009,"4,184",00:02:44
0010,"3,752",00:03:11
0011,"4,416",00:02:56
0012,"3,870",00:03:13
0013,"4,220",00:02:59
0014,"3,965",00:02:46
0015,"4,645",00:02:43
0016,"5,048",00:02:45
0017,"4,967",00:02:52
0018,"4,440",00:02:42
0019,"4,675",00:02:51
0020,"4,701",00:02:44
0021,"4,858",00:02:59
0022,"4,527",00:02:59
0023,"4,563",00:03:04
0024,"4,153",00:03:22
0025,"4,284",00:03:03
0026,"3,881",00:03:18
0027,"4,125",00:03:27
0028,"4,217",00:03:40
0029,"3,728",00:02:44
0030,"3,724",00:03:27
0031,"3,799",00:03:25
0032,"4,332",00:03:35
0033,"4,549",00:03:20
0034,"3,910",00:03:23
0035,"4,273",00:03:29
0036,"3,909",00:03:37
0037,"4,354",00:03:39
0038,"4,275",00:03:38
0039,"4,024",00:03:36
0040,"4,283",00:03:22
0041,"3,786",00:03:32
0042,"3,832",00:03:34
0043,"3,901",00:03:29
0044,"4,200",00:03:25
0045,"3,874",00:02:10
0046,"4,329",00:02:14
0047,"4,795",00:02:15
0048,"3,357",00:02:18
0049,"4,033",00:01:51
0050,"3,384",00:02:16
0051,"3,774",00:02:13
0052,"3,841",00:02:30
0053,"3,492",00:02:40
0054,"4,169",00:03:09
0055,"4,344",00:03:50
0056,"4,243",00:03:43
0057,"4,047",00:03:43
0058,"3,742",00:03:33
0059,"4,268",00:03:16
0060,"4,063",00:03:19
0061,"4,811",00:03:00
0062,"6,049",00:02:21
0063,"5,302",00:02:58
0064,"5,432",00:03:18
0065,"4,817",00:03:06
0066,"4,519",00:03:38
0067,"5,106",00:03:28
0068,"4,704",00:03:23
0069,"5,186",00:03:36
0070,"5,175",00:03:38
0071,"5,672",00:03:51
0072,"5,512",00:03:31
0073,"5,615",00:03:28
0074,"5,248",00:03:20
0075,"4,931",00:03:29
0076,"6,998",00:03:02
0077,"15,043",00:01:38
0078,"16,023",00:01:41
0079,"17,093",00:01:34
0080,"16,598",00:01:48
0081,"19,910",00:01:32
0082,"18,403",00:01:45
0083,"20,709",00:01:15
0084,"18,813",00:01:04
0085,"17,590",00:02:07
0086,"20,548",00:01:38
0087,"22,555",00:01:15
0088,"21,322",00:01:20
0089,"7,649",00:05:13
0090,"8,284",00:06:27
0091,"6,399",00:04:55
0092,"5,833",00:05:58
0093,"6,601",00:05:58
0094,"5,967",00:06:19
0095,"7,825",00:05:31
0096,"7,489",00:05:04
0097,"6,255",00:06:00
0098,"6,082",00:05:06
0099,"6,025",00:05:13
0100,"5,995",00:04:02
0101,"5,011",00:03:41
0102,"5,991",00:03:33
0103,"6,287",00:03:21
0104,"7,910",00:03:30
0105,"10,381",00:03:15
0106,"12,638",00:02:36
0107,"14,896",00:02:46
0108,"11,269",00:02:38
0109,"12,153",00:01:41
0110,"7,108",00:01:45
0111,"7,241",00:01:58
0112,"17,031",00:00:57
0113,"9,091",00:01:43
0114,"9,523",00:01:21
,"783,943",00:02:54
