n,unemployment_lag0,unemployment_lag3,unemployment_lag6,unemployment_lag9,unemployment_lag12,localunemp_lag0,localunemp_lag3,localunemp_lag6,localunemp_lag9,localunemp_lag12,oil_lag0,oil_lag3,oil_lag6,oil_lag9,oil_lag12,ngspot_lag0,ngspot_lag3,ngspot_lag6,ngspot_lag9,ngspot_lag12,ngf_lag0,ngf_lag3,ngf_lag6,ngf_lag9,ngf_lag12,nhpi_lag0,nhpi_lag3,nhpi_lag6,nhpi_lag9,nhpi_lag12,shpi_lag0,shpi_lag3,shpi_lag6,shpi_lag9,shpi_lag12,sahmrule_lag0,sahmrule_lag3,sahmrule_lag6,sahmrule_lag9,sahmrule_lag12,discount_lag0,discount_lag3,discount_lag6,discount_lag9,discount_lag12,localrent_lag0,localrent_lag3,localrent_lag6,localrent_lag9,localrent_lag12,durable_lag0,durable_lag3,durable_lag6,durable_lag9,durable_lag12,10yinf_lag0,10yinf_lag3,10yinf_lag6,10yinf_lag9,10yinf_lag12,kwhcost_lag0,kwhcost_lag3,kwhcost_lag6,kwhcost_lag9,kwhcost_lag12,sentiment_lag0,sentiment_lag3,sentiment_lag6,sentiment_lag9,sentiment_lag12,new_units_lag0,new_units_lag3,new_units_lag6,new_units_lag9,new_units_lag12,altsales_lag0,altsales_lag3,altsales_lag6,altsales_lag9,altsales_lag12,totalsa_lag0,totalsa_lag3,totalsa_lag6,totalsa_lag9,totalsa_lag12,ltrucksa_lag0,ltrucksa_lag3,ltrucksa_lag6,ltrucksa_lag9,ltrucksa_lag12,miles_lag0,miles_lag3,miles_lag6,miles_lag9,miles_lag12,tmaturity_lag0,tmaturity_lag3,tmaturity_lag6,tmaturity_lag9,tmaturity_lag12,carcpi_lag0,carcpi_lag3,carcpi_lag6,carcpi_lag9,carcpi_lag12,newhouses_lag0,newhouses_lag3,newhouses_lag6,newhouses_lag9,newhouses_lag12,GM_lag0,GM_lag3,GM_lag6,GM_lag9,GM_lag12,GM_v_lag0,GM_v_lag3,GM_v_lag6,GM_v_lag9,GM_v_lag12,F_lag0,F_lag3,F_lag6,F_lag9,F_lag12,F_v_lag0,F_v_lag3,F_v_lag6,F_v_lag9,F_v_lag12,TSLA_lag0,TSLA_lag3,TSLA_lag6,TSLA_lag9,TSLA_lag12,TSLA_v_lag0,TSLA_v_lag3,TSLA_v_lag6,TSLA_v_lag9,TSLA_v_lag12,AN_lag0,AN_lag3,AN_lag6,AN_lag9,AN_lag12,AN_v_lag0,AN_v_lag3,AN_v_lag6,AN_v_lag9,AN_v_lag12,MZDAY_lag0,MZDAY_lag3,MZDAY_lag6,MZDAY_lag9,MZDAY_lag12,MZDAY_v_lag0,MZDAY_v_lag3,MZDAY_v_lag6,MZDAY_v_lag9,MZDAY_v_lag12,XOM_lag0,XOM_lag3,XOM_lag6,XOM_lag9,XOM_lag12,XOM_v_lag0,XOM_v_lag3,XOM_v_lag6,XOM_v_lag9,XOM_v_lag12,TM_lag0,TM_lag3,TM_lag6,TM_lag9,TM_lag12,TM_v_lag0,TM_v_lag3,TM_v_lag6,TM_v_lag9,TM_v_lag12,BWA_lag0,BWA_lag3,BWA_lag6,BWA_lag9,BWA_lag12,BWA_v_lag0,BWA_v_lag3,BWA_v_lag6,BWA_v_lag9,BWA_v_lag12,g_new_cars_lag0,g_new_cars_lag3,g_new_cars_lag6,g_new_cars_lag9,g_new_cars_lag12,g_used_cars_lag0,g_used_cars_lag3,g_used_cars_lag6,g_used_cars_lag9,g_used_cars_lag12,g_car_lag0,g_car_lag3,g_car_lag6,g_car_lag9,g_car_lag12,g_car_for_sale_near_me_lag0,g_car_for_sale_near_me_lag3,g_car_for_sale_near_me_lag6,g_car_for_sale_near_me_lag9,g_car_for_sale_near_me_lag12,g_best_new_cars_lag0,g_best_new_cars_lag3,g_best_new_cars_lag6,g_best_new_cars_lag9,g_best_new_cars_lag12,g_tips_for_buying_a_car_lag0,g_tips_for_buying_a_car_lag3,g_tips_for_buying_a_car_lag6,g_tips_for_buying_a_car_lag9,g_tips_for_buying_a_car_lag12,bin
153,9.8,10,9.5,9,7.8,9.5,8.7,8.2,6.3,6.2,76.6023809523809,72.9686363636364,64.9043478260869,50.5190909090909,43.1745454545455,5.83,4.01,3.38,3.5,5.24,13.46,10.52,8.36,6.94,7.31,147.395,147.849,148.411,147.94899999999998,151.505,148.046982809848,147.58802269618602,147.120433382383,150.467136232933,157.16180926243098,2.57,3.57,3.8,3.53,2.37,0.06,0.07,0.18,0.16,0.13,255.886,258.173,258.839,260.476,260.566,181016,161097,153691,147467,151085,2.36,1.91,1.74,1.36,0.61,0.085,0.082,0.082,0.082,0.08,74.4,70.6,66,65.1,61.2,1935.0655452522697,1522.51184697341,1399.95609739305,1174.17346028509,1442.73241754553,10.669,10.371,11.37,9.197,9.573,10.893,10.576,11.566,9.379,9.786,5.252,4.964,5.126,4.552,5,220839,252209,264472,251374,225529,2.8,2.44,2.54,2,1.71,142.829,132.475,122.844,121.887,126.668,8.1,7.4,7.9,10.7,12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,36820800,NA,NA,NA,NA,23.1,NA,NA,NA,NA,0,NA,NA,NA,NA,64.43,71.67,70.39,66.67,76.48,596474300,501283200,560318900,632859600,844182900,77,78.89,84.18,79.16,63.51,16980097,11349400,11280400,24572300,22854200,35.09,30.32,33.19,28.95,16.88,28746600,41771900,49670000,69088900,37820500,68,64,93,71,62,88,73,83,75,75,56,55,71,60,57,2,0,0,0,0,55,45,83,53,40,19,16,62,73,93,1
169,9.8,9.9,9.6,9.4,8.3,9.4,8.6,8.4,7.2,6.6,73.903,76.9366666666667,72.5919047619048,57.5014285714286,42.9105,5.32,3.66,3.14,3.83,4.52,13.23,11.76,9.51,7.72,6.9,145.632,148.13299999999998,148.27700000000002,147.695,150.013,147.459899654641,147.961685942873,146.968637945748,148.558562306013,155.793424098699,2.03,3.47,3.67,3.73,2.77,0.11,0.05,0.17,0.18,0.3,254.311,257.267,258.43,259.87,260.003,180450,160419,157489,149255,148834,2.27,2.12,1.82,1.57,1.12,0.085,0.082,0.082,0.082,0.08,73.6,67.4,65.7,68.7,56.3,1726.3811775238598,1146.60182754324,1301.78000538993,1213.73831776233,1062.26613287682,10.108,10.817,14.568,9.996,9.023,10.315,11.041,14.754,10.176,9.223,5.011,5.273,6.363,5.032,4.556,210635,237264,260297,258276,217643,2.83,2.6,2.47,2.36,1.89,143.173,135.73,125.011,122.533,124.405,8.3,7.6,7.5,9.3,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.75,17.65,NA,NA,NA,36977100,55107400,NA,NA,NA,25.95,22.9,NA,NA,NA,1925,0,NA,NA,NA,65,75.07,69.15,69.35,67.9,534843200,356438100,437664700,530458500,771508100,74.83,78.54,85.19,80.15,63.14,86416700,8621100,10055700,17244500,23065500,37.46,30.21,29.67,32.25,17.25,28083700,23583200,41709300,50958900,58747100,65,59,100,76,72,92,64,82,76,81,59,56,69,65,62,0,0,0,0,1,53,46,100,54,43,52,48,100,55,78,0
184,9.9,9.9,9.8,9.5,8.7,9.2,8.9,8.8,7.8,6.6,79.5191304347826,74.7895652173913,67.5131818181818,68.58,46.5827272727273,4.29,5.35,2.99,3.8,3.96,11.89,12.45,9.67,9.35,6.7,145.86,147.928,148.025,148.09,148.66,146.988452581761,148.57277021194798,146.631562052085,147.850417501631,152.26152776195602,1.53,3.07,3.57,3.9,3.13,0.15,0.05,0.12,0.18,0.21,253.922,256.612,258.366,259.24,260.124,182148,160520,158041,147033,146323,2.22,2.23,1.76,1.86,1.11,0.085,0.082,0.082,0.082,0.08,73.6,72.5,73.5,70.8,57.3,1803.70485074827,1591.58139013431,1637.90480866118,1263.37983124887,1222.90841934423,11.553,11.06,9.347,9.956,9.552,11.772,11.284,9.535,10.149,9.748,5.921,5.26,4.34,4.794,4.751,254238,239593,241970,258395,249741,2.77,2.72,2.44,2.54,1.89,142.377,139.376,127.631,123.236,122.21,7.1,8,7.8,8.5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.08,19.15,NA,NA,NA,41229100,42166600,NA,NA,NA,26.42,23.1,NA,NA,NA,4935,400,NA,NA,NA,66.98,68.19,68.61,69.91,68.1,582728200,648945000,419180700,596987800,933460300,80.42,84.16,78.57,75.53,63.3,34887200,7865700,10865300,13019800,24879800,38.18,33.22,30.26,34.15,20.3,42837200,17305900,44061300,43751000,66080100,67,63,65,79,70,87,64,71,78,80,58,57,56,66,62,0,0,0,0,0,56,54,46,56,51,75,29,42,37,51,0
183,9.9,9.8,10,9.5,9,8.5,9.5,8.7,8.2,6.3,85.1563636363636,76.6023809523809,72.9686363636364,64.9043478260869,50.5190909090909,4.03,5.83,4.01,3.38,3.5,11.62,13.46,10.52,8.36,6.94,146.40200000000002,147.395,147.849,148.411,147.94899999999998,146.216263736225,148.046982809848,147.58802269618602,147.120433382383,150.467136232933,1.2,2.57,3.57,3.8,3.53,0.16,0.06,0.07,0.18,0.16,252.538,255.886,258.173,258.839,260.476,182948,181016,161097,153691,147467,2.35,2.36,1.91,1.74,1.36,0.088,0.085,0.082,0.082,0.082,72.2,74.4,70.6,66,65.1,1582.0933100061,1935.0655452522697,1522.51184697341,1399.95609739305,1174.17346028509,11.249,10.669,10.371,11.37,9.197,11.454,10.893,10.576,11.566,9.379,5.765,5.252,4.964,5.126,4.552,253936,220839,252209,264472,251374,2.79,2.8,2.44,2.54,2,141.68,142.829,132.475,122.844,121.887,6.2,8.1,7.4,7.9,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.2,18,NA,NA,NA,60714000,36820800,NA,NA,NA,29.71,23.1,NA,NA,NA,43925,0,NA,NA,NA,67.77,64.43,71.67,70.39,66.67,531285400,596474300,501283200,560318900,632859600,77.09,77,78.89,84.18,79.16,23745200,16980097,11349400,11280400,24572300,43.34,35.09,30.32,33.19,28.95,39738800,28746600,41771900,49670000,69088900,68,68,64,93,71,79,88,73,83,75,57,56,55,71,60,1,2,0,0,0,60,55,45,83,53,38,19,16,62,73,1
218,9.6,9.8,9.9,9.6,9.4,8.7,9.4,8.6,8.4,7.2,76.1323809523809,73.903,76.9366666666667,72.5919047619048,57.5014285714286,4.14,5.32,3.66,3.14,3.83,11.29,13.23,11.76,9.51,7.72,146.393,145.632,148.13299999999998,148.27700000000002,147.695,146.141597340379,147.459899654641,147.961685942873,146.968637945748,148.558562306013,0.8,2.03,3.47,3.67,3.73,0.16,0.11,0.05,0.17,0.18,251.387,254.311,257.267,258.43,259.87,189932,180450,160419,157489,149255,2.11,2.27,2.12,1.82,1.57,0.089,0.085,0.082,0.082,0.082,73.6,73.6,67.4,65.7,68.7,1083.79875098125,1726.3811775238598,1146.60182754324,1301.78000538993,1213.73831776233,11.821,10.108,10.817,14.568,9.996,12.03,10.315,11.041,14.754,10.176,6.097,5.011,5.273,6.363,5.032,256927,210635,237264,260297,258276,2.59,2.83,2.6,2.47,2.36,140.952,143.173,135.73,125.011,122.533,9.3,8.3,7.6,7.5,9.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.03,17.75,17.65,NA,NA,72021700,36977100,55107400,NA,NA,27.6,25.95,22.9,NA,NA,37340,1925,0,NA,NA,60.46,65,75.07,69.15,69.35,768609600,534843200,356438100,437664700,530458500,72.34,74.83,78.54,85.19,80.15,20802600,86416700,8621100,10055700,17244500,37.26,37.46,30.21,29.67,32.25,47034300,28083700,23583200,41709300,50958900,69,65,59,100,76,78,92,64,82,76,59,59,56,69,65,0,0,0,0,0,48,53,46,100,54,76,52,48,100,55,0
192,9.4,9.9,9.9,9.8,9.5,8.9,9.2,8.9,8.8,7.8,75.2463636363636,79.5191304347826,74.7895652173913,67.5131818181818,68.58,4.8,4.29,5.35,2.99,3.8,10.93,11.89,12.45,9.67,9.35,145.719,145.86,147.928,148.025,148.09,144.863029169059,146.988452581761,148.57277021194798,146.631562052085,147.850417501631,0.43,1.53,3.07,3.57,3.9,0.12,0.15,0.05,0.12,0.18,251.703,253.922,256.612,258.366,259.24,185667,182148,160520,158041,147033,1.94,2.22,2.23,1.76,1.86,0.089,0.085,0.082,0.082,0.082,76,73.6,72.5,73.5,70.8,1832.84990476416,1803.70485074827,1591.58139013431,1637.90480866118,1263.37983124887,11.385,11.553,11.06,9.347,9.956,11.598,11.772,11.284,9.535,10.149,5.75,5.921,5.26,4.34,4.794,260083,254238,239593,241970,258395,2.48,2.77,2.72,2.44,2.54,141.951,142.377,139.376,127.631,123.236,8.3,7.1,8,7.8,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.5,18.08,19.15,NA,NA,57229700,41229100,42166600,NA,NA,23.85,26.42,23.1,NA,NA,26220,4935,400,NA,NA,57.07,66.98,68.19,68.61,69.91,808522600,582728200,648945000,419180700,596987800,68.57,80.42,84.16,78.57,75.53,15398300,34887200,7865700,10865300,13019800,37.34,38.18,33.22,30.26,34.15,42787100,42837200,17305900,44061300,43751000,72,67,63,65,79,89,87,64,71,78,61,58,57,56,66,0,0,0,0,0,54,56,54,46,56,73,75,29,42,37,0
190,9.4,9.9,9.8,10,9.5,9,8.5,9.5,8.7,8.2,75.195,85.1563636363636,76.6023809523809,72.9686363636364,64.9043478260869,4.63,4.03,5.83,4.01,3.38,10.18,11.62,13.46,10.52,8.36,144.988,146.40200000000002,147.395,147.849,148.411,144.3653209034,146.216263736225,148.046982809848,147.58802269618602,147.120433382383,0.13,1.2,2.57,3.57,3.8,0.16,0.16,0.06,0.07,0.18,251.314,252.538,255.886,258.173,258.839,187506,182948,181016,161097,153691,1.77,2.35,2.36,1.91,1.74,0.09,0.088,0.085,0.082,0.082,67.8,72.2,74.4,70.6,66,1555.74577967301,1582.0933100061,1935.0655452522697,1522.51184697341,1399.95609739305,11.715,11.249,10.669,10.371,11.37,11.948,11.454,10.893,10.576,11.566,5.977,5.765,5.252,4.964,5.126,265315,253936,220839,252209,264472,2.39,2.79,2.8,2.44,2.54,142.512,141.68,142.829,132.475,122.844,8.9,6.2,8.1,7.4,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.77,NA,NA,NA,NA,1740320300,NA,NA,NA,NA,19.94,NA,NA,NA,NA,64575800,NA,NA,NA,NA,24.43,20.2,18,NA,NA,42077700,60714000,36820800,NA,NA,23.9,29.71,23.1,NA,NA,15260,43925,0,NA,NA,59.68,67.77,64.43,71.67,70.39,613489500,531285400,596474300,501283200,560318900,70.23,77.09,77,78.89,84.18,14938100,23745200,16980097,11349400,11280400,43.86,43.34,35.09,30.32,33.19,43037900,39738800,28746600,41771900,49670000,61,68,68,64,93,81,79,88,73,83,61,57,56,55,71,0,1,2,0,0,56,60,55,45,83,73,38,19,16,62,1
219,9.5,9.6,9.8,9.9,9.6,8.9,8.7,9.4,8.6,8.4,76.8918181818182,76.1323809523809,73.903,76.9366666666667,72.5919047619048,4.32,4.14,5.32,3.66,3.14,10.48,11.29,13.23,11.76,9.51,143.911,146.393,145.632,148.13299999999998,148.27700000000002,143.22111849596902,146.141597340379,147.459899654641,147.961685942873,146.968637945748,0,0.8,2.03,3.47,3.67,0.16,0.16,0.11,0.05,0.17,252.107,251.387,254.311,257.267,258.43,191745,189932,180450,160419,157489,1.68,2.11,2.27,2.12,1.82,0.09,0.089,0.085,0.082,0.082,68.9,73.6,73.6,67.4,65.7,1862.4228614736603,1083.79875098125,1726.3811775238598,1146.60182754324,1301.78000538993,11.802,11.821,10.108,10.817,14.568,12.014,12.03,10.315,11.041,14.754,6.016,6.097,5.011,5.273,6.363,263837,256927,210635,237264,260297,2.18,2.59,2.83,2.6,2.47,143.42,140.952,143.173,135.73,125.011,8.8,9.3,8.3,7.6,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.285,NA,NA,NA,NA,1339522800,NA,NA,NA,NA,19.48,NA,NA,NA,NA,15038200,NA,NA,NA,NA,22.56,20.03,17.75,17.65,NA,34760600,72021700,36977100,55107400,NA,22.84,27.6,25.95,22.9,NA,16260,37340,1925,0,NA,59.11,60.46,65,75.07,69.15,475629700,768609600,534843200,356438100,437664700,67.84,72.34,74.83,78.54,85.19,16058400,20802600,86416700,8621100,10055700,43.65,37.26,37.46,30.21,29.67,43357400,47034300,28083700,23583200,41709300,56,69,65,59,100,78,78,92,64,82,60,59,59,56,69,0,0,0,0,0,42,48,53,46,100,72,76,52,48,100,0
208,9.5,9.4,9.9,9.9,9.8,8.9,8.9,9.2,8.9,8.8,77.9381818181818,75.2463636363636,79.5191304347826,74.7895652173913,67.5131818181818,3.89,4.8,4.29,5.35,2.99,11.02,10.93,11.89,12.45,9.67,143.014,145.719,145.86,147.928,148.025,142.80217993238998,144.863029169059,146.988452581761,148.57277021194798,146.631562052085,0.03,0.43,1.53,3.07,3.57,0.15,0.12,0.15,0.05,0.12,250.75,251.703,253.922,256.612,258.366,201932,185667,182148,160520,158041,1.74,1.94,2.22,2.23,1.76,0.09,0.089,0.085,0.082,0.082,68.2,76,73.6,72.5,73.5,1477.0875751403798,1832.84990476416,1803.70485074827,1591.58139013431,1637.90480866118,11.703,11.385,11.553,11.06,9.347,11.922,11.598,11.772,11.284,9.535,5.944,5.75,5.921,5.26,4.34,244682,260083,254238,239593,241970,2.17,2.48,2.77,2.72,2.44,144.032,141.951,142.377,139.376,127.631,7.6,8.3,7.1,8,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.24,NA,NA,NA,NA,1108738500,NA,NA,NA,NA,20.405,NA,NA,NA,NA,18045900,NA,NA,NA,NA,23.25,19.5,18.08,19.15,NA,24834900,57229700,41229100,42166600,NA,22.84,23.85,26.42,23.1,NA,0,26220,4935,400,NA,61.79,57.07,66.98,68.19,68.61,423362300,808522600,582728200,648945000,419180700,71.58,68.57,80.42,84.16,78.57,13948700,15398300,34887200,7865700,10865300,52.62,37.34,38.18,33.22,30.26,36485200,42787100,42837200,17305900,44061300,56,72,67,63,65,67,89,87,64,71,53,61,58,57,56,0,0,0,0,0,49,54,56,54,46,83,73,75,29,42,0
186,9.4,9.4,9.9,9.8,10,8.7,9,8.5,9.5,8.7,83.3385714285714,75.195,85.1563636363636,76.6023809523809,72.9686363636364,3.43,4.63,4.03,5.83,4.01,12.15,10.18,11.62,13.46,10.52,142.528,144.988,146.40200000000002,147.395,147.849,141.687630295214,144.3653209034,146.216263736225,148.046982809848,147.58802269618602,0.07,0.13,1.2,2.57,3.57,0.13,0.16,0.16,0.06,0.07,251.128,251.314,252.538,255.886,258.173,193066,187506,182948,181016,161097,2.01,1.77,2.35,2.36,1.91,0.089,0.09,0.088,0.085,0.082,67.7,67.8,72.2,74.4,70.6,1487.7717456877,1555.74577967301,1582.0933100061,1935.0655452522697,1522.51184697341,12.199,11.715,11.249,10.669,10.371,12.414,11.948,11.454,10.893,10.576,6.435,5.977,5.765,5.252,4.964,256395,265315,253936,220839,252209,2.16,2.39,2.79,2.8,2.44,144.313,142.512,141.68,142.829,132.475,8.2,8.9,6.2,8.1,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.13,12.77,NA,NA,NA,1521047100,1740320300,NA,NA,NA,21.84,19.94,NA,NA,NA,6547800,64575800,NA,NA,NA,23.22,24.43,20.2,18,NA,28042200,42077700,60714000,36820800,NA,26.15,23.9,29.71,23.1,NA,35520,15260,43925,0,NA,66.49,59.68,67.77,64.43,71.67,430427600,613489500,531285400,596474300,501283200,70.82,70.23,77.09,77,78.89,10916500,14938100,23745200,16980097,11349400,56.11,43.86,43.34,35.09,30.32,31716100,43037900,39738800,28746600,41771900,52,61,68,68,64,66,81,79,88,73,52,61,57,56,55,0,0,1,2,0,50,56,60,55,45,56,73,38,19,16,1
