feature,n
unemp_lag0,-0.23903868537675388
unemp_lag3,0.13682561484169398
unemp_lag6,0.1551724499818161
unemp_lag9,0.12485137403868327
unemp_lag12,0.23986496901280432
unempt5w_lag0,-0.7091802525836743
unempt5w_lag3,0.05596831352821072
unempt5w_lag6,0.07635800114680018
unempt5w_lag9,0.010488734873245276
unempt5w_lag12,0.2442927540661656
unemp5tp14w_lag0,-0.01214302054979771
unemp5tp14w_lag3,0.0563984636337945
unemp5tp14w_lag6,0.1301703499971885
unemp5tp14w_lag9,0.0870611304894439
unemp5tp14w_lag12,0.2842990138068586
unemp15to26w_lag0,0.10371505151520569
unemp15to26w_lag3,0.11212113604258032
unemp15to26w_lag6,0.0710951015078674
unemp15to26w_lag9,0.3252208210583549
unemp15to26w_lag12,-0.03981149116607558
unemp27ov_lag0,0.26011882754778487
unemp27ov_lag3,0.1371827614337994
unemp27ov_lag6,0.04136149156506271
unemp27ov_lag9,-0.13857275099729324
unemp27ov_lag12,-0.1533376344135919
oilimport_lag0,0.1373843613775047
oilimport_lag3,-0.09788026592124481
oilimport_lag6,-0.17475989806584918
oilimport_lag9,-0.12406261341708646
oilimport_lag12,-0.25097102239768
ngspot_lag0,-0.05706705354435254
ngspot_lag3,0.029171269678450587
ngspot_lag6,-0.04358167741063581
ngspot_lag9,-0.10601907912632198
ngspot_lag12,-0.009406466078926335
hcpi_lag0,-0.019835011735532475
hcpi_lag3,-0.01114752406748353
hcpi_lag6,-0.02219991171721421
hcpi_lag9,0.03811193332609493
hcpi_lag12,0.04119863775302823
food_lag0,-0.06687194606274306
food_lag3,0.011112692332255137
food_lag6,-8.113368830916915e-4
food_lag9,0.04496939938801543
food_lag12,0.10431032903892287
sahmrule_lag0,0.013562350094783631
sahmrule_lag3,0.1820071959810446
sahmrule_lag6,0.20121098655319059
sahmrule_lag9,0.21424491552376773
sahmrule_lag12,0.11448449393109962
discount_lag0,0.08305321296113653
discount_lag3,-0.1278081775491076
discount_lag6,-0.07679749533966865
discount_lag9,-0.07091988738159058
discount_lag12,-0.12220449192617266
localrent_lag0,-0.03740832443262543
localrent_lag3,0.025030875357198643
localrent_lag6,0.05159593285781231
localrent_lag9,0.1106853829879813
localrent_lag12,0.005791095454457224
durable_lag0,0.24479649716339813
durable_lag3,-0.04486312209868176
durable_lag6,-0.0826443441410059
durable_lag9,-0.04413995369150438
durable_lag12,-0.31237301492057423
10yinf_lag0,0.1761804408282773
10yinf_lag3,-0.03414915200601863
10yinf_lag6,-0.08974242250100692
10yinf_lag9,-0.09857569752978175
10yinf_lag12,-0.2648958271488438
kwhcost_lag0,-0.028200065653327364
kwhcost_lag3,0.036685219753701134
kwhcost_lag6,0.08014184129386456
kwhcost_lag9,-5.777161515643569e-4
kwhcost_lag12,-0.06692430338523891
sentiment_lag0,0.18093855162457453
sentiment_lag3,-0.12957930902976653
sentiment_lag6,-0.11385203816110905
sentiment_lag9,-0.1360472097933146
sentiment_lag12,-0.149894659934137
new_units_lag0,0.1777099784953585
new_units_lag3,-0.08012095378433325
new_units_lag6,0.08657073741700393
new_units_lag9,-0.27261963541634743
new_units_lag12,-0.1770669493752963
altsales_lag0,0.6396143565885625
altsales_lag3,0.0013232441718587457
altsales_lag6,-0.095079226658549
altsales_lag9,-0.08931412426832494
altsales_lag12,-0.2938385987512747
totalsa_lag0,0.6396383607467564
totalsa_lag3,0.0049316682467275795
totalsa_lag6,-0.09845982171288584
totalsa_lag9,-0.09404111535454453
totalsa_lag12,-0.29789238028236187
ltrucksa_lag0,0.6567269787442638
ltrucksa_lag3,0.0364935573817916
ltrucksa_lag6,-0.09167647132034401
ltrucksa_lag9,-0.08604382621476629
ltrucksa_lag12,-0.29602832477234403
tmaturity_lag0,0.11704711232144911
tmaturity_lag3,0.04295063241113937
tmaturity_lag6,-0.058539544315816136
tmaturity_lag9,-0.0860122379543293
tmaturity_lag12,0.014842343204860964
carcpi_lag0,-0.010237976854137618
carcpi_lag3,-0.0801115721550066
carcpi_lag6,-0.027193463557520756
carcpi_lag9,-0.01104412452549732
carcpi_lag12,-0.06978628059104587
newhouses_lag0,-0.2236035870362599
newhouses_lag3,-0.16017905446705155
newhouses_lag6,-0.12678947390122247
newhouses_lag9,-0.12824954267834132
newhouses_lag12,0.24738582616428806
pempltot_lag0,-0.039771049499653814
pempltot_lag3,-0.20398098332562659
pempltot_lag6,-0.15226466104608244
pempltot_lag9,-0.0986690117268753
pempltot_lag12,-0.019277741813280274
pemplmanuf_lag0,-0.020860376026060633
pemplmanuf_lag3,-0.1626267426756403
pemplmanuf_lag6,-0.1456579634774033
pemplmanuf_lag9,-0.13833626943946364
pemplmanuf_lag12,-0.03518994077872232
pemplfin_lag0,0.01605148682998762
pemplfin_lag3,-0.14982802088963354
pemplfin_lag6,-0.2359300132746619
pemplfin_lag9,-0.17549604929263052
pemplfin_lag12,0.0043823975232291324
laborpart_lag0,0.26686020382815295
laborpart_lag3,-0.20999076793366347
laborpart_lag6,-0.1829348463870168
laborpart_lag9,-0.014718384469098098
laborpart_lag12,-0.1236532307768118
prodmanuf_lag0,0.4885767177072897
prodmanuf_lag3,0.009939465068035046
prodmanuf_lag6,-0.09910722741014683
prodmanuf_lag9,-0.09572969392936871
prodmanuf_lag12,-0.27690223277903814
overmanuf_lag0,0.4054812238361494
overmanuf_lag3,0.07418192988745807
overmanuf_lag6,-0.0912914213442332
overmanuf_lag9,-0.1246229755043079
overmanuf_lag12,-0.2558343816224937
wagemanuf_lag0,-0.0210908924338279
wagemanuf_lag3,-0.01872545876483806
wagemanuf_lag6,0.007261417871673233
wagemanuf_lag9,-0.023164312269704387
wagemanuf_lag12,0.020618511331652968
fedsurplus_lag0,0.09068681848763879
fedsurplus_lag3,-0.153576121505852
fedsurplus_lag6,-0.027210527157746387
fedsurplus_lag9,-0.09414724990857588
fedsurplus_lag12,-0.36698633932276203
industry_lag0,0.3259489468073825
industry_lag3,-0.12024605344687903
industry_lag6,-0.16467314992630122
industry_lag9,-0.005261099141129141
industry_lag12,-0.21441279313516085
industrycg_lag0,0.4223103472843887
industrycg_lag3,-0.012583241441773352
industrycg_lag6,-0.08078640687917349
industrycg_lag9,0.017145354377369897
industrycg_lag12,-0.3172465707670984
industryut_lag0,0.10252174065430257
industryut_lag3,-0.08913992482277144
industryut_lag6,0.08654415146091898
industryut_lag9,-0.09508613727889448
industryut_lag12,0.0959144509707888
caput_lag0,0.34335552233128624
caput_lag3,-0.11369191931850646
caput_lag6,-0.11635054336601211
caput_lag9,-0.038175378887280495
caput_lag12,-0.28792775048609776
hcpiurban_lag0,-0.021223949587197775
hcpiurban_lag3,-0.026603499068099373
hcpiurban_lag6,-0.01576929029067853
hcpiurban_lag9,0.0014355004196049237
hcpiurban_lag12,-8.290616242928828e-4
stuffcpi_lag0,-0.0038999985407637905
stuffcpi_lag3,-0.06342961513542825
stuffcpi_lag6,-0.06136350603313116
stuffcpi_lag9,-0.04045346519327432
stuffcpi_lag12,-0.10627347910872899
retail_lag0,0.2573712568192548
retail_lag3,-0.014770243488424775
retail_lag6,-0.06479334845350812
retail_lag9,-0.004081384220143258
retail_lag12,-0.14295371993188458
sales_lag0,0.16747755300031075
sales_lag3,-0.0436884828724362
sales_lag6,-0.09001406794675779
sales_lag9,-0.05902122224504085
sales_lag12,-0.22209614344867173
manufsales_lag0,0.12375832614605473
manufsales_lag3,-0.049820513512111884
manufsales_lag6,-0.11367832209540768
manufsales_lag9,-0.09265603807290362
manufsales_lag12,-0.26099546949692365
manufinv_lag0,-0.031076980369884134
manufinv_lag3,-0.07697695844488575
manufinv_lag6,-0.07234646939425551
manufinv_lag9,-0.04041075792583806
manufinv_lag12,-0.0052691046736426175
cbpy30_lag0,0.04441246150110828
cbpy30_lag3,-0.04026071313183935
cbpy30_lag6,-0.0909397077231625
cbpy30_lag9,-0.1227527691291016
cbpy30_lag12,-3.2179225702652376e-4
fedfundseff_lag0,0.08793420389206044
fedfundseff_lag3,-0.1112537207076833
fedfundseff_lag6,-0.10191140895313977
fedfundseff_lag9,-0.1089616599349193
fedfundseff_lag12,-0.11701641632264
treasurymat1_lag0,0.05877011379514821
treasurymat1_lag3,-0.11943075681604513
treasurymat1_lag6,-0.07870824658838746
treasurymat1_lag9,-0.05113391528622215
treasurymat1_lag12,-0.10859872782470559
treasurymat5_lag0,0.05242962586583364
treasurymat5_lag3,-0.14652607001352103
treasurymat5_lag6,-0.12922221731197947
treasurymat5_lag9,-0.08429730227782546
treasurymat5_lag12,-0.09938779491002456
treasurymat7_lag0,0.0840309087316387
treasurymat7_lag3,-0.14668264581643495
treasurymat7_lag6,-0.1576946579985802
treasurymat7_lag9,-0.10803120872756979
treasurymat7_lag12,-0.10626951784722061
treasurymat10_lag0,0.12734364503647153
treasurymat10_lag3,-0.1398813798548117
treasurymat10_lag6,-0.17013836612579952
treasurymat10_lag9,-0.13460006619449497
treasurymat10_lag12,-0.12243549415773781
advforecon_lag0,-0.21402715944695236
advforecon_lag3,-0.06768072462571947
advforecon_lag6,0.020774294867670306
advforecon_lag9,0.06681564182364635
advforecon_lag12,0.18604707650310412
GM_lag0,0.2543234169087655
GM_lag3,0.0033071776679128384
GM_lag6,-0.15567102794541346
GM_lag9,-0.22776836777660656
GM_lag12,-0.1865947933916457
GM_v_lag0,-0.1890180425160205
GM_v_lag3,0.169005911254248
GM_v_lag6,0.08431508947980124
GM_v_lag9,-0.020704104561234983
GM_v_lag12,0.212368986991441
F_lag0,0.07605283507255331
F_lag3,-0.06895773782131355
F_lag6,-0.09168416271237619
F_lag9,-0.13468268089548785
F_lag12,-0.1714586017679446
F_v_lag0,-0.2987795473225135
F_v_lag3,0.08101738471029775
F_v_lag6,0.046657824858771936
F_v_lag9,0.1053047559780852
F_v_lag12,0.19390215654626777
TSLA_lag0,-0.14326852251178968
TSLA_lag3,-0.012108481222696213
TSLA_lag6,0.015042619425752581
TSLA_lag9,0.15908066621735098
TSLA_lag12,0.16992445911456255
TSLA_v_lag0,0.038855163847849865
TSLA_v_lag3,0.10533615233566453
TSLA_v_lag6,0.2409229573489106
TSLA_v_lag9,-0.030363682098188904
TSLA_v_lag12,-0.1797321859528807
AN_lag0,0.09241441828841776
AN_lag3,-0.021154559329020065
AN_lag6,-0.10940184246292496
AN_lag9,-0.08392317088217999
AN_lag12,-0.07091659906344538
AN_v_lag0,-0.40201603506810507
AN_v_lag3,-0.04889433822578192
AN_v_lag6,-0.005498531836146642
AN_v_lag9,0.0011731958039009048
AN_v_lag12,0.032863746064837364
MZDAY_lag0,0.2953586178115932
MZDAY_lag3,-0.22822626264990664
MZDAY_lag6,-0.25268942419218315
MZDAY_lag9,-0.1632081077845811
MZDAY_lag12,-0.1992047210685511
MZDAY_v_lag0,-0.51746700282978
MZDAY_v_lag3,0.16103228622032226
MZDAY_v_lag6,-0.048498354159720966
MZDAY_v_lag9,-0.02271450066311585
MZDAY_v_lag12,0.4093877428383548
XOM_lag0,0.09910381374670027
XOM_lag3,-0.13890328594561802
XOM_lag6,-0.2371673168455275
XOM_lag9,-0.17633557484190235
XOM_lag12,-0.1194869354604966
XOM_v_lag0,-0.28854704371530027
XOM_v_lag3,0.10947723083525185
XOM_v_lag6,0.13017828612114885
XOM_v_lag9,0.06911884486270131
XOM_v_lag12,0.19484638430952422
TM_lag0,0.07741138908325146
TM_lag3,-0.12944651038374738
TM_lag6,-0.12256505182138301
TM_lag9,-0.07722213649209331
TM_lag12,-0.032463563447983304
TM_v_lag0,-0.12825039979017805
TM_v_lag3,0.20783737048612905
TM_v_lag6,-0.12123197192607464
TM_v_lag9,-0.13429635542947133
