n,10yinf_lag6,altsales_lag6,AN_lag12,AN_v_lag12,BWA_lag9,BWA_v_lag6,caput_lag9,carcpi_lag9,cbpy30_lag12,discount_lag9,durable_lag9,F_lag6,F_v_lag12,fedfundseff_lag6,fedsurplus_lag6,food_lag12,g_best_new_cars_lag9,g_car_for_sale_near_me_lag9,g_cars_for_sale_lag9,g_dealership_near_me_lag9,g_how_to_buy_a_car_lag9,g_new_cars_lag9,g_used_cars_lag9,GT_lag9,GT_v_lag12,hcpi_lag12,hcpiurban_lag9,HMC_lag9,HMC_v_lag12,industry_lag9,industrycg_lag9,industryut_lag12,kwhcost_lag6,laborpart_lag9,LEA_lag6,localrent_lag9,ltrucksa_lag9,manufinv_lag12,manufsales_lag9,month,new_units_lag6,newhouses_lag12,ngspot_lag12,oilimport_lag9,overmanuf_lag6,prodmanuf_lag9,quarter,retail_lag9,sahmrule_lag9,sales_lag9,sentiment_lag6,stuffcpi_lag9,TM_lag12,TM_v_lag12,tmaturity_lag12,totalsa_lag6,treasurymat1_lag9,treasurymat10_lag12,treasurymat5_lag9,treasurymat7_lag12,unemp_lag12,unemp15to26w_lag9,unemp27ov_lag6,unemp5tp14w_lag12,unempt5w_lag12,wagemanuf_lag12,XOM_lag12,XOM_v_lag12,year
192,2.23,11.06,17.35,63146700,30.26,17305900,66.1307,127.631,6.5,0.12,158041,10,1823650100,0.12,-91410,230.493,0,0,77,0,0,76,75,17.03,117347300,240.69,216.68,30.31,17572200,88.0888,97.8967,96.0944,0.082,65.1,67.64,258.366,4.34,507452,374771,6,1589.92049449936,8.5,3.8,257.9,3.5,40.1,2,301033,3.57,999487,72.5,171.922,75.53,13019800,2.54,11.284,0.4,3.72,2.37,3.37,9.5,2908,6122,4052,3114,18.18,69.91,596987800,2010
190,2.36,10.669,20.68,65710000,30.32,28746600,66.237,132.475,6.3,0.07,161097,10.84,1857588800,0.11,-42634,225.822,0,0,85,0,0,75,84,12.88,136747400,240.437,216.942,30.97,15470000,87.6828,98.1296,102.6101,0.085,65,68.8,258.173,4.964,504096,378606,7,1932.53995300404,7.9,3.38,267.6,3.6,40.2,3,304154,3.57,1010189,74.4,172.746,84.18,11280400,2.54,10.893,0.37,3.56,2.33,3.14,9.5,3006,6319,3505,3137,18.3,70.39,560318900,2010
219,2.27,10.108,18.98,62958300,30.21,28083700,67.0226,135.73,6.01,0.05,160419,11.74,1711751600,0.13,-220909,227.048,0,0,75,0,0,77,79,13.71,104426400,240.27,216.962,30.99,11520000,87.3478,97.5318,104.4211,0.085,65,69.27,257.267,5.273,501500,386354,8,1725.28402853457,7.5,3.14,280.5,3.4,40.5,3,306675,3.47,1029230,73.6,173.95,85.19,10055700,2.47,10.315,0.31,3.59,2.23,3.21,9.6,2847,6129,3927,2940,18.32,69.15,437664700,2010
208,2.22,11.553,18.08,58402100,33.22,42837200,66.9982,139.376,5.79,0.05,160520,12.57,1410174900,0.16,-65387,225.005,0,0,73,0,0,73,72,14.1,98419600,239.56,216.899,33.9,11188900,88.0883,97.4128,93.6745,0.085,64.6,79.35,256.612,5.26,498099,390857,9,1802.86610767808,7.8,2.99,274.9,3.6,40.6,3,308413,3.07,1038095,73.6,174.106,78.57,10865300,2.44,11.772,0.37,3.4,2.34,3.02,9.8,2712,6545,3775,2841,18.42,68.61,419180700,2010
186,2.35,11.249,17.24,82218500,35.09,39738800,67.852,142.829,5.76,0.06,181016,13.02,1469989800,0.2,-82689,223.616,0,0,94,0,0,89,91,13.34,167927700,239.402,216.206,33.91,16028500,88.9571,98.0607,88.0479,0.088,64.8,81.18,255.886,5.252,502146,396215,10,1584.01860448574,7.4,4.01,283.2,3.7,40.9,4,308346,2.57,1047178,72.2,174.876,78.89,11349400,2.44,11.454,0.35,3.39,2.48,2.96,10,2574,6800,3552,3223,18.38,71.67,501283200,2010
205,2.11,11.821,17.65,55107400,37.46,47034300,67.9534,143.173,5.84,0.11,180450,11.73,2284758600,0.2,-135927,217.862,0,0,100,0,0,88,97,12.99,93877200,237.594,216.042,34.61,10840200,89.0055,97.2413,88.1245,0.089,64.9,67.67,254.311,5.011,504770,394069,11,1083.64303594795,7.6,3.66,281,4,40.5,4,308435,2.03,1050244,73.6,174.321,78.54,8621100,2.6,12.03,0.35,3.4,2.36,2.92,9.9,2793,6638,3457,2816,18.42,75.07,356438100,2010
218,1.94,11.385,19.15,42166600,38.18,42787100,68.9776,142.377,5.95,0.15,182148,10.08,1313338600,0.18,-68422,222.177,0,0,89,0,0,83,98,12.64,60932900,237.042,216.146,35.29,9662200,90.0797,97.5895,109.2273,0.089,64.9,66.2,253.922,5.921,505025,401764,12,1832.73876070892,8,5.35,290.1,3.8,41,4,315771,1.53,1070644,76,174.137,84.16,7865700,2.72,11.598,0.4,3.59,2.43,3.07,9.9,2542,6623,3457,2879,18.42,68.19,648945000,2010
187,1.77,11.715,18,36820800,43.34,43037900,69.6987,141.68,5.95,0.16,182948,12.77,2556631300,0.18,-165043,224.937,0,0,87,0,0,73,86,13.43,77456800,237.348,216.092,33.79,10288700,89.1034,96.7827,117.4737,0.09,65.2,78.17,252.538,5.765,505695,405276,1,1555.70546251396,8.1,5.83,302,3.8,41.1,1,318646,1.2,1082454,67.8,173.874,77,16980097,2.8,11.948,0.45,3.73,2.58,3.21,9.8,2330,6506,3390,2921,18.43,64.43,596474300,2011
168,1.68,11.802,17.75,36977100,37.26,43357400,70.7306,140.952,6.07,0.16,189932,11.285,1612414400,0.19,-90526,224.994,0,0,91,0,0,75,82,11.9,85179600,237.29,216.128,30.39,14426900,90.861,98.6071,109.106,0.09,64.9,73.66,251.387,6.097,510367,403798,2,1860.4678535550895,8.3,5.32,282.1,3.9,41.4,1,315356,0.8,1075534,68.9,173.367,74.83,86416700,2.83,12.014,0.37,3.69,2.18,3.12,9.8,2260,6259,3390,2807,18.48,65,534843200,2011
198,1.74,11.703,18.08,41229100,37.34,36485200,70.8215,141.951,5.99,0.12,185667,12.24,3180990000,0.19,-34607,226.913,0,0,90,0,0,81,93,9.94,88711000,236.994,216.06,28.75,9312600,93.6368,98.3761,96.8805,0.09,64.6,78.93,251.703,5.75,512320,404071,3,1478.82326060324,7.1,4.29,272.5,4,41,1,314806,0.43,1075836,68.2,172.929,80.42,34887200,2.77,11.922,0.32,3.73,2,3.16,9.9,2284,6163,3294,2769,18.47,66.98,582728200,2011
202,2.01,12.199,20.2,60714000,43.86,31716100,71.3225,142.512,5.93,0.16,187506,14.13,2545750200,0.19,-140432,227.664,0,0,86,0,0,74,87,10.67,126527000,236.742,216.214,31.77,11084800,92.064,99.0078,84.9776,0.089,64.6,88.4,251.314,5.977,515075,408072,4,1488.49395319714,6.2,4.03,275.6,4,41.1,2,315589,0.13,1084103,67.7,173.391,77.09,23745200,2.79,12.414,0.29,3.85,1.76,3.28,9.9,2208,6227,3086,2725,18.5,67.77,531285400,2011
231,2.09,12.07,20.03,72021700,43.65,26507600,71.5697,143.42,5.75,0.16,191745,15.94,2714125100,0.19,-150394,223.755,0,0,88,0,0,76,83,9.24,129176700,237.985,216.254,32.93,16101800,94.6572,98.7838,89.4931,0.088,64.7,87.77,252.107,6.016,515983,409306,5,1441.53546842814,9.3,4.14,279.6,4,41.2,2,317171,0,1090464,71.6,173.829,72.34,20802600,2.59,12.3,0.26,3.42,1.47,2.86,9.6,2162,6326,3127,2773,18.58,60.46,768609600,2011
186,2.25,12.383,19.5,57229700,52.62,27510600,71.7504,144.032,5.73,0.15,201932,16.79,1788548000,0.18,-78134,223.44,0,0,69,0,0,67,77,10.75,81215700,237.59,216.234,35.59,18331400,93.5644,98.437,102.9199,0.088,64.6,98.71,250.75,5.944,519456,414874,6,2194.17117072202,8.3,4.8,276.5,4,41.4,2,319912,0.03,1098273,74.5,174.383,68.57,15398300,2.48,12.605,0.26,3.2,1.41,2.66,9.4,2291,6429,3159,2683,18.57,57.07,808522600,2011
218,2.33,12.547,24.43,42077700,56.11,40318100,71.8836,144.313,5.53,0.13,193066,15.95,1740320300,0.17,-49796,224.55,0,0,74,0,0,71,73,10.22,106128800,237.989,216.359,36.03,11128000,92.6289,98.4424,111.44970000000001,0.088,64.4,105.63,251.128,6.435,523182,419156,7,1289.14186321152,8.9,4.63,289.8,4,41.2,3,324078,0.07,1116843,74.2,175.737,70.23,14938100,2.39,12.806,0.23,3.01,1.18,2.43,9.4,2387,6175,2972,2806,18.64,59.68,613489500,2011
