date,fgp,tgp,cp,n,fgp_a,tgp_a,cp_a,new_n,used_n
2010-01-01,181151.75,269979.61,3168682.2,153,1183.998366013072,1764.5726143790848,20710.34117647059,99,54
2010-02-01,205496.68,342325.52,3401470.83,169,1215.9566863905325,2025.5947928994085,20127.046331360947,104,65
2010-03-01,225500.42,366284.13,3878599.73,184,1225.5457608695654,1990.6746195652174,21079.346358695653,122,62
2010-04-01,206099.28,353262.49,3814819.7,183,1126.2255737704918,1930.3961202185792,20846.009289617487,115,68
2010-05-01,222484.2,362539.2,4532186.65,218,1020.5697247706422,1663.0238532110093,20789.847018348624,139,79
2010-06-01,188340.99,323495.81,3874100.7600000002,192,980.9426562499999,1684.8740104166666,20177.608125000002,110,82
2010-07-01,236531.04,418703.12,3946728.04,190,1244.9002105263157,2203.700631578947,20772.252842105263,114,76
2010-08-01,231745.59,406908.64,4443874.03,219,1058.1990410958904,1858.0303196347033,20291.662237442924,137,82
2010-09-01,251285.58000000002,434356.7,4532881.28,208,1208.10375,2088.2533653846153,21792.698461538464,140,68
2010-10-01,225799.46,394363.68,3739385,186,1213.9755913978495,2120.234838709677,20104.220430107525,120,66
2010-11-01,210369.87,367706.82,4441081.97,205,1026.194487804878,1793.6918048780487,21663.814487804877,125,80
2010-12-01,223271.28,394158.68,4666118.64,218,1024.1801834862385,1808.0673394495414,21404.21394495413,146,72
2011-01-01,204289.99,339109.59,3797219.84,187,1092.4598395721925,1813.4202673796792,20305.98844919786,115,72
2011-02-01,199438.43,328325.28,3386249.66,168,1187.133511904762,1954.317142857143,20156.247976190476,109,59
2011-03-01,247154.78,407395.67,4507043.4,198,1248.2564646464646,2057.5538888888887,22762.845454545455,136,61
2011-04-01,225297.87,369516.12,4761891.43,202,1115.33599009901,1829.2877227722772,23573.719950495048,143,59
2011-05-01,268947.37,487426.8,5247315.24,231,1164.274329004329,2110.072727272727,22715.65038961039,165,66
2011-06-01,238168.87,400684.42,4227847.96,186,1280.4777956989246,2154.217311827957,22730.365376344085,125,60
2011-07-01,257412.06,462303.33,5070746.82,218,1180.7892660550458,2120.65747706422,23260.30651376147,155,63
2011-08-01,249666.34,470426.39,5291558.37,226,1104.7183185840709,2081.532699115044,23413.975088495576,146,79
2011-09-01,253141.77,446496.87,4836290.34,216,1171.952638888889,2067.115138888889,22390.233055555556,152,64
2011-10-01,223684.26,386033.29,4628176.45,202,1107.3478217821782,1911.0558910891089,22911.764603960397,126,76
2011-11-01,229191.02,403632.36,5388656.05,232,987.8923275862069,1739.7946551724137,23226.96573275862,167,65
2011-12-01,217788.29,403639.68,5055916.46,213,1022.4802347417841,1895.0219718309859,23736.696995305163,156,57
2012-01-01,122563.24,306064.32,4168554.95,188,651.9321276595745,1628.0017021276597,22173.164627659575,108,80
