date,n,fgp,tgp,cp,fgp_a,tgp_a,cp_a
2016-01-01,184,206570.64,382712.68,5430237.01,1122.6665217391305,2079.9602173913045,29512.157663043476
2016-02-01,179,235177.77,424732.09,5473276.7700000005,1313.8422905027933,2372.804972067039,30576.965195530727
2016-03-01,166,189056.53,358142.63,5256342.45,1138.8947590361445,2157.485722891566,31664.71355421687
2016-04-01,208,232642.9,441264.13,6279915.9,1118.4754807692307,2121.4621634615387,30191.903365384616
2016-05-01,216,239504.62,453063.4,6369525.42,1108.8176851851852,2097.515740740741,29488.543611111112
2016-06-01,196,226607.4,404481.3,5963342.92,1156.1602040816326,2063.680102040816,30425.218979591835
2016-07-01,262,302375.28,502664.31,7923025.36,1154.1041221374046,1918.56606870229,30240.554809160305
2016-08-01,220,218940.71,411509.95,6731979.17,995.1850454545454,1870.4997727272728,30599.905318181816
2016-09-01,228,249012.19,430789.7,7253542.94,1092.1587280701754,1889.42850877193,31813.784824561404
2016-10-01,237,246208.68,465330.27,7556499.69,1038.8551898734177,1963.4188607594938,31883.964936708864
2016-11-01,224,235068.23,436976.03,7105459.24,1049.4117410714287,1950.7858482142858,31720.80017857143
2016-12-01,255,322061.54,554072.82,8459489.45,1262.9864313725489,2172.8345882352937,33174.468431372545
2017-01-01,205,225200.24,374712.41,6238563.22,1098.537756097561,1827.8654146341462,30432.01570731707
2017-02-01,219,232461.45,394313.34,6678675.07,1061.467808219178,1800.5175342465755,30496.233196347035
2017-03-01,256,277269.67,486723.02,8390096.97,1083.0846484375,1901.261796875,32773.8162890625
2017-04-01,237,308962.39,519868.66,7947890.79,1303.638776371308,2193.5386497890295,33535.40417721519
2017-05-01,262,298312.7,519304.93,7916072.46,1138.5980916030535,1982.0798854961831,30214.017022900764
2017-06-01,187,211241.04,384502,6086514.35,1129.6312299465242,2056.1604278074865,32548.205080213902
2017-07-01,222,241268,497728.79,6857401.12,1086.7927927927929,2242.0215765765765,30889.194234234234
2017-08-01,202,225240.07,379435.43,6166505.68,1115.0498514851486,1878.3932178217822,30527.255841584156
2017-09-01,260,284158.57,484996.69,8212291.35,1092.917576923077,1865.3718846153847,31585.73596153846
2017-10-01,191,195718.36,388741.16,6159082.4,1024.703455497382,2035.2940314136124,32246.504712041886
2017-11-01,265,288667.48,515046.92,8659322.11,1089.3112452830187,1943.5732830188679,32676.68720754717
2017-12-01,292,334507.22,585295.72,9818352.83,1145.5726712328767,2004.4373972602739,33624.49599315068
2018-01-01,193,218190.53,373529.06,6272392.19,1130.5208808290156,1935.3837305699483,32499.441398963732
2018-02-01,187,211839,351516.05,6046636.33,1132.8288770053475,1879.764973262032,32334.953636363636
2018-03-01,219,247719.86,442871.54,7353002.57,1131.140913242009,2022.2444748858447,33575.35420091324
2018-04-01,230,222251.9,372950.58,7218820.21,966.3126086956521,1621.5242608695653,31386.174826086957
2018-05-01,216,216687.18,421588.44,6923920.3,1003.1813888888888,1951.7983333333334,32055.186574074072
2018-06-01,165,184528.09,379900.5,5427410.91,1118.3520606060606,2302.427272727273,32893.399454545455
2018-07-01,181,239674.08,453375.43,6114355.78,1324.1661878453037,2504.836629834254,33780.971160220994
2018-08-01,219,252297.68,488931.16,7066951.3,1152.0442009132419,2232.562374429224,32269.18401826484
2018-09-01,185,221156.98,434791.86,5971755.38,1195.4431351351352,2350.22627027027,32279.75881081081
2018-10-01,157,210737.22,329424.8,4966566.53,1342.2752866242038,2098.247133757962,31634.181719745226
2018-11-01,197,242849.41,429449.47,6330281.52,1232.738121827411,2179.94654822335,32133.408730964464
2018-12-01,203,232147.49,485828.12,6487934.26,1143.5836945812807,2393.2419704433496,31960.267290640393
2019-01-01,116,154512.35,290219.44,3626715.8,1332.0030172413794,2501.891724137931,31264.791379310343
2019-02-01,113,131748.06,229497.85,3526353.81,1165.91203539823,2030.9544247787612,31206.670884955754
2019-03-01,222,331872.5,547108.37,7620395.72,1494.9211711711712,2464.4521171171173,34326.106846846844
2019-04-01,128,184044.63,355579.29,4465391.95,1437.848671875,2777.963203125,34885.874609375
2019-05-01,174,254772.35,421085.35,6153469,1464.208908045977,2420.030747126437,35364.76436781609
2019-06-01,174,241052.66,478324.47,5986792.95,1385.3601149425288,2748.9912068965514,34406.85603448276
2019-07-01,153,245367.12,469775.32,5062426.01,1603.7066666666667,3070.4269281045754,33087.7516993464
2019-08-01,173,275212.64,533561.6,6165244.34,1590.8245086705203,3084.171098265896,35637.25052023121
2019-09-01,164,238663.03,428308.09,5724930.67,1455.2623780487804,2611.634695121951,34908.11384146341
2019-10-01,145,226903.99,430574.63,4937653.89,1564.8551034482757,2969.480206896552,34052.78544827586
2019-11-01,165,217570.52,461677.61,5731540.12,1318.609212121212,2798.0461212121213,34736.60678787879
2019-12-01,195,225762.44,467925.98,6619081.71,1157.7561025641025,2399.62041025641,33944.00876923077
2020-01-01,157,181001.13,377605.52,5254918.51,1152.873439490446,2405.130700636943,33470.818535031845
2020-02-01,142,162531.24,325816.5,4896256.02,1144.5861971830984,2294.4823943661972,34480.67619718309
