,actual,pred,group
0,183.0,199.3221005249406,train
1,218.0,203.23484886713862,train
2,192.0,201.2291917530108,train
3,190.0,202.80541446363358,train
4,219.0,203.4605930350622,train
5,208.0,203.92982244682693,train
6,186.0,202.24756446363358,train
7,205.0,204.84819167759613,train
8,218.0,204.84426054206494,train
9,187.0,195.2002448464086,train
10,168.0,194.06000658956737,train
11,198.0,199.74405841967743,train
12,202.0,201.98277716204603,train
13,231.0,209.7038608815947,train
14,186.0,203.36552490742096,train
15,218.0,208.3222568985979,train
16,226.0,210.70100783967598,train
17,216.0,210.70100783967598,train
18,202.0,207.3468195937973,train
19,232.0,210.2193420065411,train
20,213.0,210.9098886499218,train
21,188.0,201.3938984183096,train
22,258.0,258.9961753054522,train
23,273.0,267.08089715767153,train
24,247.0,261.7824093556127,train
25,297.0,273.63358567842675,train
26,276.0,266.8783572217815,train
27,237.0,257.572990716065,train
28,280.0,276.13259634571835,train
29,301.0,272.48434666860925,train
30,261.0,266.09618017864926,train
31,255.0,265.9152698305179,train
32,271.0,268.40868598484855,train
33,212.0,248.13224072191525,train
34,247.0,261.9941334980633,train
35,271.0,269.576065260867,train
36,251.0,272.4602878643363,train
37,300.0,283.687497085334,train
38,258.0,274.401489233851,train
39,322.0,313.7434852167071,train
40,344.0,319.26890240773866,train
41,313.0,319.2567331552696,train
42,295.0,318.0187014854495,train
43,281.0,310.55904627080804,train
44,331.0,328.4309437775423,train
45,281.0,317.648320748389,train
46,286.0,318.29029251592226,train
47,388.0,330.9817124908374,train
48,342.0,328.96945948002366,train
49,386.0,337.650903604971,train
50,345.0,337.8359059894547,train
51,362.0,341.1738130824749,train
52,361.0,340.88758804340824,train
53,335.0,335.17317720685327,train
54,273.0,325.4849324433633,train
55,327.0,331.8600208901497,train
56,317.0,325.1929042951923,train
57,250.0,320.30841545346897,train
58,291.0,328.3948043905731,train
59,362.0,343.4887538195948,train
60,317.0,333.52100758281927,train
61,352.0,344.19886158054726,train
62,354.0,347.24297537174266,train
63,380.0,348.98006528560967,train
64,400.0,348.61833822736156,train
65,358.0,345.7775780069227,train
66,295.0,345.05102867562823,train
67,344.0,345.1203336838525,train
68,356.0,349.97210486282404,train
69,352.0,358.00396267055,train
70,330.0,356.7140081423907,train
71,323.0,348.776960769912,train
72,369.0,357.83472169194437,train
73,392.0,358.93510377050984,train
74,329.0,347.33280715843307,train
75,420.0,360.1023151009392,train
76,359.0,360.65885656759144,train
77,368.0,363.68955715725315,train
78,367.0,362.9386825105216,train
79,350.0,362.93819598300723,train
80,414.0,366.6243844866387,train
81,339.0,362.11275579602847,train
82,347.0,361.5175961814495,train
83,403.0,364.3363705019643,train
84,363.0,363.75096763458083,train
85,416.0,364.1734504376924,train
86,327.0,360.4092214227916,train
87,380.0,361.7744132172942,train
88,361.0,360.99058572808366,train
89,398.0,361.86169714641443,train
90,330.0,360.2032150735852,train
91,413.0,367.1155715035726,train
92,466.0,378.8500587088294,train
93,326.0,355.578452547627,train
94,338.0,356.31233450332786,train
95,417.0,366.84289491552676,train
96,373.0,360.49548046376265,train
97,351.0,352.21443981470617,train
98,298.0,348.4004985660941,train
99,342.0,348.49504666834076,train
100,390.0,352.2281936660715,train
101,316.0,331.8444805652167,train
102,303.0,324.7542379318333,train
103,327.0,328.68426099245085,train
104,371.0,339.65425925622634,train
105,278.0,315.01881826039715,train
106,248.0,309.4375482755446,train
107,400.0,339.7182394199407,train
108,279.0,324.2931143142589,train
109,328.0,325.960676615751,train
110,311.0,324.5559092155725,train
111,322.0,324.45086967079743,train
112,350.0,324.7878177844302,train
113,304.0,319.46050357532107,train
114,297.0,318.5072945545482,train
115,323.0,316.72319119774244,train
116,332.0,323.19776154980275,train
117,299.0,311.19142751469064,train
118,309.0,310.29025758563847,train
119,170.0,206.3495312320338,train
120,2.0,252.53262080178715,test
121,363.0,237.71159355497227,test
122,306.0,257.0762705323877,test
123,295.0,269.1710284587499,test
124,300.0,271.9199585937805,test
125,272.0,270.0521360146053,test
126,293.0,271.8318979100198,test
127,343.0,272.88677538828483,test
128,278.0,273.8294848942748,test
129,283.0,281.29724618770655,test
130,233.0,279.6092501557393,test
131,376.0,280.9168900258881,test
132,356.0,285.1986501121264,test
133,390.0,299.6029693882074,test
134,299.0,288.4723807935918,test
135,316.0,298.7262487938728,test
136,276.0,298.6083603238324,test
137,248.0,296.1716611417279,test
138,227.0,293.7080466202067,test
139,216.0,290.91826813603393,test
140,242.0,293.6873868221278,test
141,261.0,275.3586041811145,test
142,322.0,286.14300128996723,test
143,318.0,278.2449741086676,test
144,223.0,281.419211032679,test
145,317.0,277.3413463488677,test
146,273.0,277.1538734771459,test
147,302.0,274.1866369388552,test
148,299.0,273.9185708932948,test
149,261.0,273.0938122352862,test
150,,273.4710589254152,pred
151,,273.9910876310234,pred
152,,272.1779070378195,pred
