,pred,actual,group
0,183.0,191.6,train
1,218.0,199.85714285714286,train
2,192.0,199.85714285714286,train
3,190.0,199.85714285714286,train
4,219.0,199.85714285714286,train
5,208.0,199.85714285714286,train
6,186.0,199.85714285714286,train
7,205.0,217.88888888888889,train
8,218.0,217.88888888888889,train
9,187.0,191.6,train
10,168.0,168.0,train
11,198.0,191.6,train
12,202.0,191.6,train
13,231.0,217.88888888888889,train
14,186.0,199.85714285714286,train
15,218.0,217.88888888888889,train
16,226.0,217.88888888888889,train
17,216.0,217.88888888888889,train
18,202.0,217.88888888888889,train
19,232.0,217.88888888888889,train
20,213.0,217.88888888888889,train
21,188.0,191.6,train
22,258.0,259.57142857142856,train
23,273.0,259.57142857142856,train
24,247.0,259.57142857142856,train
25,297.0,259.57142857142856,train
26,276.0,259.57142857142856,train
27,237.0,259.57142857142856,train
28,280.0,311.4375,train
29,301.0,310.6666666666667,train
30,261.0,261.0,train
31,255.0,259.57142857142856,train
32,271.0,259.57142857142856,train
33,212.0,259.57142857142856,train
34,247.0,259.57142857142856,train
35,271.0,259.57142857142856,train
36,251.0,259.57142857142856,train
37,300.0,310.6666666666667,train
38,258.0,259.57142857142856,train
39,322.0,311.4375,train
40,344.0,311.4375,train
41,313.0,311.4375,train
42,295.0,311.4375,train
43,281.0,259.57142857142856,train
44,331.0,311.4375,train
45,281.0,281.6666666666667,train
46,286.0,281.6666666666667,train
47,388.0,353.22222222222223,train
48,342.0,353.22222222222223,train
49,386.0,330.22222222222223,train
50,345.0,330.22222222222223,train
51,362.0,364.9142857142857,train
52,361.0,364.9142857142857,train
53,335.0,330.22222222222223,train
54,273.0,311.4375,train
55,327.0,330.22222222222223,train
56,317.0,311.4375,train
57,250.0,249.0,train
58,291.0,330.22222222222223,train
59,362.0,364.9142857142857,train
60,317.0,311.4375,train
61,352.0,364.9142857142857,train
62,354.0,364.9142857142857,train
63,380.0,364.9142857142857,train
64,400.0,364.9142857142857,train
65,358.0,364.9142857142857,train
66,295.0,330.22222222222223,train
67,344.0,330.22222222222223,train
68,356.0,364.9142857142857,train
69,352.0,364.9142857142857,train
70,330.0,364.9142857142857,train
71,323.0,364.9142857142857,train
72,369.0,364.9142857142857,train
73,392.0,364.9142857142857,train
74,329.0,364.9142857142857,train
75,420.0,364.9142857142857,train
76,359.0,364.9142857142857,train
77,368.0,364.9142857142857,train
78,367.0,364.9142857142857,train
79,350.0,364.9142857142857,train
80,414.0,364.9142857142857,train
81,339.0,364.9142857142857,train
82,347.0,364.9142857142857,train
83,403.0,364.9142857142857,train
84,363.0,364.9142857142857,train
85,416.0,364.9142857142857,train
86,327.0,364.9142857142857,train
87,380.0,364.9142857142857,train
88,361.0,364.9142857142857,train
89,398.0,364.9142857142857,train
90,330.0,364.9142857142857,train
91,413.0,364.9142857142857,train
92,466.0,466.0,train
93,326.0,364.9142857142857,train
94,338.0,364.9142857142857,train
95,417.0,417.0,train
96,373.0,364.9142857142857,train
97,351.0,330.22222222222223,train
98,298.0,330.22222222222223,train
99,342.0,353.22222222222223,train
100,390.0,353.22222222222223,train
101,316.0,353.22222222222223,train
102,303.0,353.22222222222223,train
103,327.0,353.22222222222223,train
104,371.0,353.22222222222223,train
105,278.0,281.6666666666667,train
106,248.0,249.0,train
107,400.0,353.22222222222223,train
108,279.0,311.4375,train
109,328.0,311.4375,train
110,311.0,311.4375,train
111,322.0,311.4375,train
112,350.0,311.4375,train
113,304.0,311.4375,train
114,297.0,311.4375,train
115,323.0,310.6666666666667,train
116,332.0,310.6666666666667,train
117,299.0,310.6666666666667,train
118,309.0,310.6666666666667,train
119,170.0,170.0,train
120,2.0,311.4375,test
121,363.0,311.4375,test
122,306.0,311.4375,test
123,295.0,311.4375,test
124,300.0,311.4375,test
125,272.0,311.4375,test
126,293.0,311.4375,test
127,343.0,311.4375,test
128,278.0,311.4375,test
129,283.0,281.6666666666667,test
130,233.0,281.6666666666667,test
131,376.0,310.6666666666667,test
132,356.0,310.6666666666667,test
133,390.0,311.4375,test
134,299.0,310.6666666666667,test
135,316.0,311.4375,test
136,276.0,311.4375,test
137,248.0,311.4375,test
138,227.0,311.4375,test
139,216.0,311.4375,test
140,242.0,311.4375,test
141,261.0,249.0,test
142,322.0,249.0,test
143,318.0,311.4375,test
144,223.0,311.4375,test
145,317.0,311.4375,test
146,273.0,311.4375,test
147,302.0,311.4375,test
148,299.0,353.22222222222223,test
149,261.0,353.22222222222223,test
150,353.22222222222223,,pred
151,353.22222222222223,,pred
152,353.22222222222223,,pred
