"B19013_001E","B19013_001M","GEO_ID","NAME"
"Estimate!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)","id","Geographic Area Name"
"68906","16929","1500000US530019501001","Block Group 1, Census Tract 9501, Adams County, Washington"
"53277","6166","1500000US530019501002","Block Group 2, Census Tract 9501, Adams County, Washington"
"37589","18330","1500000US530019501003","Block Group 3, Census Tract 9501, Adams County, Washington"
"48897","14209","1500000US530019502001","Block Group 1, Census Tract 9502, Adams County, Washington"
"75369","17790","1500000US530019502002","Block Group 2, Census Tract 9502, Adams County, Washington"
"55750","11282","1500000US530019502003","Block Group 3, Census Tract 9502, Adams County, Washington"
"39928","14422","1500000US530019503011","Block Group 1, Census Tract 9503.01, Adams County, Washington"
"58884","7649","1500000US530019503021","Block Group 1, Census Tract 9503.02, Adams County, Washington"
"-","**","1500000US530019503031","Block Group 1, Census Tract 9503.03, Adams County, Washington"
"50899","4098","1500000US530019503032","Block Group 2, Census Tract 9503.03, Adams County, Washington"
"43594","29703","1500000US530019504001","Block Group 1, Census Tract 9504, Adams County, Washington"
"72604","12735","1500000US530019504002","Block Group 2, Census Tract 9504, Adams County, Washington"
"61516","27706","1500000US530019505001","Block Group 1, Census Tract 9505, Adams County, Washington"
"40956","2541","1500000US530019505002","Block Group 2, Census Tract 9505, Adams County, Washington"
"28480","15359","1500000US530019505003","Block Group 3, Census Tract 9505, Adams County, Washington"
"55457","7431","1500000US530039601001","Block Group 1, Census Tract 9601, Asotin County, Washington"
"67703","36498","1500000US530039601002","Block Group 2, Census Tract 9601, Asotin County, Washington"
"83324","8340","1500000US530039601003","Block Group 3, Census Tract 9601, Asotin County, Washington"
"93864","40612","1500000US530039602001","Block Group 1, Census Tract 9602, Asotin County, Washington"
"54591","24200","1500000US530039602002","Block Group 2, Census Tract 9602, Asotin County, Washington"
"84883","24555","1500000US530039602003","Block Group 3, Census Tract 9602, Asotin County, Washington"
"69559","11692","1500000US530039602004","Block Group 4, Census Tract 9602, Asotin County, Washington"
"29455","10341","1500000US530039603001","Block Group 1, Census Tract 9603, Asotin County, Washington"
"30938","9052","1500000US530039603002","Block Group 2, Census Tract 9603, Asotin County, Washington"
"38250","12091","1500000US530039603003","Block Group 3, Census Tract 9603, Asotin County, Washington"
"56563","8953","1500000US530039603004","Block Group 4, Census Tract 9603, Asotin County, Washington"
"38133","6071","1500000US530039604001","Block Group 1, Census Tract 9604, Asotin County, Washington"
"41818","16213","1500000US530039604002","Block Group 2, Census Tract 9604, Asotin County, Washington"
"38646","8239","1500000US530039605001","Block Group 1, Census Tract 9605, Asotin County, Washington"
"43929","11882","1500000US530039605002","Block Group 2, Census Tract 9605, Asotin County, Washington"
"40793","9038","1500000US530039605003","Block Group 3, Census Tract 9605, Asotin County, Washington"
"75221","54515","1500000US530039605004","Block Group 4, Census Tract 9605, Asotin County, Washington"
"39277","9632","1500000US530039606001","Block Group 1, Census Tract 9606, Asotin County, Washington"
"71063","16641","1500000US530039606002","Block Group 2, Census Tract 9606, Asotin County, Washington"
"49750","20790","1500000US530039606003","Block Group 3, Census Tract 9606, Asotin County, Washington"
"48250","26706","1500000US530039606004","Block Group 4, Census Tract 9606, Asotin County, Washington"
"89250","7125","1500000US530050101001","Block Group 1, Census Tract 101, Benton County, Washington"
"130156","23365","1500000US530050101002","Block Group 2, Census Tract 101, Benton County, Washington"
"70820","39766","1500000US530050102011","Block Group 1, Census Tract 102.01, Benton County, Washington"
"66657","8749","1500000US530050102012","Block Group 2, Census Tract 102.01, Benton County, Washington"
"122083","30343","1500000US530050102013","Block Group 3, Census Tract 102.01, Benton County, Washington"
"113973","16370","1500000US530050102014","Block Group 4, Census Tract 102.01, Benton County, Washington"
"58542","21431","1500000US530050102031","Block Group 1, Census Tract 102.03, Benton County, Washington"
"48523","13452","1500000US530050102032","Block Group 2, Census Tract 102.03, Benton County, Washington"
"84931","40211","1500000US530050102033","Block Group 3, Census Tract 102.03, Benton County, Washington"
"38713","21766","1500000US530050102041","Block Group 1, Census Tract 102.04, Benton County, Washington"
"25868","5844","1500000US530050102042","Block Group 2, Census Tract 102.04, Benton County, Washington"
"93750","18153","1500000US530050103001","Block Group 1, Census Tract 103, Benton County, Washington"
"56977","9483","1500000US530050103002","Block Group 2, Census Tract 103, Benton County, Washington"
"56593","20396","1500000US530050103003","Block Group 3, Census Tract 103, Benton County, Washington"
"79535","18473","1500000US530050103004","Block Group 4, Census Tract 103, Benton County, Washington"
"67733","4835","1500000US530050104001","Block Group 1, Census Tract 104, Benton County, Washington"
"68750","39931","1500000US530050104002","Block Group 2, Census Tract 104, Benton County, Washington"
"-","**","1500000US530050104003","Block Group 3, Census Tract 104, Benton County, Washington"
"57067","9725","1500000US530050105001","Block Group 1, Census Tract 105, Benton County, Washington"
"76125","18872","1500000US530050105002","Block Group 2, Census Tract 105, Benton County, Washington"
"57019","9389","1500000US530050106001","Block Group 1, Census Tract 106, Benton County, Washington"
"76477","18770","1500000US530050106002","Block Group 2, Census Tract 106, Benton County, Washington"
"39157","11974","1500000US530050106003","Block Group 3, Census Tract 106, Benton County, Washington"
"66250","16653","1500000US530050106004","Block Group 4, Census Tract 106, Benton County, Washington"
"48750","17861","1500000US530050107011","Block Group 1, Census Tract 107.01, Benton County, Washington"
"92784","7633","1500000US530050107012","Block Group 2, Census Tract 107.01, Benton County, Washington"
"59688","41460","1500000US530050107031","Block Group 1, Census Tract 107.03, Benton County, Washington"
