8910a1ce23bb2cd7b7ff96a6b357a08f,00da332b11e3199fff9b346f656c1c4a,c3e878e27f52e2a57ace4d9a76fd9acf,1,2022-05-17T22:16:22.340Z,2,2022-05-17T23:14:31.334Z,2,47.487,-122.147,47.947,-122.3,EE,1,1,1,1,"","",3,55.90089969172347,106.45980862830824,54177.19544972917,1,530330256023,530610413012,America/Los_Angeles,America/Los_Angeles,174.4497,021230032010201111,021230030000213313,""
3cccd3415818d353388636abf8a67186,015c8c9f194d08f1e10fbf875196a3d2,74071a673307ca7459bcf75fbd024e09,1,2022-05-18T22:26:30.000Z,3,2022-05-18T22:45:45.000Z,3,47.863,-122.292,47.881,-122.224,EE,1,1,1,2,"","",3,23.180108421839652,173.2958019539862,7436.95145200689,1,530610501023,530610417043,America/Los_Angeles,America/Los_Angeles,128.33333333333331,021230030020102103,021230030003230313,"{\"method\":\"fused\",\"aid_type\":\"AAID\"}"
fda987a638354c85bdf37fc283191860,03c197d35b6318130986e47045c5c170,74071a673307ca7459bcf75fbd024e09,1,2022-05-18T19:49:01.000Z,3,2022-05-18T20:00:39.000Z,3,47.798,-122.211,47.89,-122.276,EE,1,1,1,2,"","",3,74.89285178395522,178.1351053761694,14520.891818111319,1,530610519252,530610419011,America/Los_Angeles,America/Los_Angeles,87.25,021230030023102222,021230030002312022,"{\"method\":\"fused\",\"aid_type\":\"AAID\"}"
9215f645c36d8edc4f6aebcfefa68532,058d0b25ace22d56dc5688a0fa75d6d7,74071a673307ca7459bcf75fbd024e09,1,2022-05-18T17:13:36.000Z,3,2022-05-18T17:55:28.000Z,3,47.942,-122.257,47.71,-122.168,EE,1,1,1,2,"","",2,54.18214784396902,246.40319736384333,37807.09871779172,1,530610413042,530330219031,America/Los_Angeles,America/Los_Angeles,83.73333333333333,021230030000331133,021230030201313333,"{\"method\":\"gps\",\"aid_type\":\"IDFA\"}"
2cd008b836f5581434428747950591dc,096f46827c9c789263b2755495676bb7,74071a673307ca7459bcf75fbd024e09,1,2022-05-17T16:40:32.000Z,2,2022-05-17T16:59:55.000Z,2,47.865,-122.247,47.773,-122.319,EE,1,1,1,2,"","",0,62.46698826467395,248.36630235176642,20180.30759772661,1,530610418111,530330204011,America/Los_Angeles,America/Los_Angeles,48.458333333333336,021230030021000332,021230030022212023,"{\"method\":\"gps\",\"aid_type\":\"IDFA\"}"
510424d83976d038c76b16b8f46439e2,0c442c5d16168410d89cfd70b3ca5d46,74071a673307ca7459bcf75fbd024e09,1,2022-05-18T02:28:17.000Z,2,2022-05-18T04:38:04.000Z,2,48.007,-122.182,47.738,-122.314,EE,1,1,1,2,"","",3,38.09281772821497,227.59403283920506,82396.88101378054,1,530610402002,530330211002,America/Los_Angeles,America/Los_Angeles,55.621428571428574,021230012223312301,021230030200030101,"{\"method\":\"gps\",\"aid_type\":\"IDFA\"}"
8b4c55e8ea871f683662ca43ed3b40f9,0d506f5db3fe7b4f3277ec68b3c69475,74071a673307ca7459bcf75fbd024e09,1,2022-05-18T22:29:01.000Z,3,2022-05-18T22:35:53.000Z,3,47.851,-122.274,47.886,-122.28,EE,1,1,1,2,"","",3,34.52606209833688,86.65278195233576,3951.315995698554,1,530610518032,530610419013,America/Los_Angeles,America/Los_Angeles,51.5,021230030020130230,021230030002321110,"{\"method\":\"gps\",\"aid_type\":\"IDFA\"}"
1f26b5fe2a27efa872a0dd300c6fb0e0,0f0628a5ffbad9a3f6b7b637da5f2413,74071a673307ca7459bcf75fbd024e09,1,2022-05-17T21:20:30.000Z,2,2022-05-17T21:46:20.000Z,2,47.788,-122.143,47.949,-122.3,EE,1,1,1,2,"","",2,77.90297869864948,187.1936842835731,33541.56027302964,1,530610519121,530610413012,America/Los_Angeles,America/Los_Angeles,77.5,021230030032032021,021230030000213311,"{\"method\":\"gps\",\"aid_type\":\"IDFA\"}"
64ba1140b3a94ca547adccab3e6cdf4e,0f9f03b715528866583cd74fef60d9ee,74071a673307ca7459bcf75fbd024e09,1,2022-05-18T16:53:15.000Z,3,2022-05-18T17:01:43.000Z,3,47.918,-122.299,47.86,-122.273,EE,1,1,1,2,"","",1,48.202378698872344,91.00123960021777,6801.89121639643,1,530610419011,530610518042,America/Los_Angeles,America/Los_Angeles,101.6,021230030002102202,021230030020112213,"{\"method\":\"fused\",\"aid_type\":\"AAID\"}"
a1ae75ee643d8e5d91191ab868561777,114b652e7c147a7f9e790e595940af6e,74071a673307ca7459bcf75fbd024e09,1,2022-05-17T22:32:08.000Z,2,2022-05-17T23:10:57.000Z,2,47.865,-122.275,47.837,-122.114,EE,1,1,1,2,"","",2,51.76825441408753,249.27888603591438,33491.18459178052,1,530610418121,530610521081,America/Los_Angeles,America/Los_Angeles,97.04166666666667,021230030020110223,021230030030300313,"{\"method\":\"gps\",\"aid_type\":\"IDFA\"}"
56bbd46d0f43ea7ec05e6909a83d8f3e,14f6d091c668b70d055d40998314b473,74071a673307ca7459bcf75fbd024e09,1,2022-05-18T00:54:51.000Z,2,2022-05-18T01:10:19.000Z,2,47.887,-122.284,47.825,-122.269,EE,1,1,1,2,"","",1,27.61565924880228,157.0716914506241,7118.703273024588,1,530610420051,530610519052,America/Los_Angeles,America/Los_Angeles,92.8,021230030002303233,021230030020330130,"{\"method\":\"fused\",\"aid_type\":\"AAID\"}"
44cb36a4515a84d98ad9531a9cd36459,182db137c210645419db36708d4afccf,74071a673307ca7459bcf75fbd024e09,1,2022-05-18T18:16:17.000Z,3,2022-05-18T18:46:39.000Z,3,47.899,-122.291,47.676,-122.317,EE,1,1,1,2,"","",2,51.234993488571256,62.956347473413466,25930.59948227134,1,530610420061,530330036001,America/Los_Angeles,America/Los_Angeles,260.2857142857143,021230030002300103,021230030202030210,"{\"method\":\"fused\",\"aid_type\":\"AAID\"}"
159bb648d426f64d370b9cda57e824da,1b4dfc0515c67d2ce7127bf769ef75c6,74071a673307ca7459bcf75fbd024e09,1,2022-05-18T23:11:00.000Z,3,2022-05-18T23:58:44.000Z,3,47.886,-122.304,47.831,-122.275,EE,1,1,1,2,"","",0,48.8205780625443,248.54191213121118,38839.4821030908,1,530610420062,530610518023,America/Los_Angeles,America/Los_Angeles,98.75862068965517,021230030002231100,021230030020312023,"{\"method\":\"gps\",\"aid_type\":\"IDFA\"}"
7b5c032ace46c425f80753e195585c46,1bc0d63b4cd4add4c64881bae6996dc7,74071a673307ca7459bcf75fbd024e09,1,2022-05-19T04:17:48.000Z,3,2022-05-19T05:13:57.000Z,3,47.805,-122.22,47.805,-122.222,EE,1,1,1,2,"","",3,67.9080457273617,241.56379643800383,63550.61279318931,1,530610519222,530610519222,America/Los_Angeles,America/Los_Angeles,48.128571428571426,021230030023013001,021230030023013000,"{\"method\":\"fused\",\"aid_type\":\"AAID\"}"
43cb0db1bb03d72d78e169b5c102cf5e,1c15a4cca2d908c96b8bdce23afcf20e,74071a673307ca7459bcf75fbd024e09,1,2022-05-19T02:41:00.000Z,3,2022-05-19T03:13:30.000Z,3,47.902,-122.293,47.834,-122.268,EE,1,1,1,2,"","",3,29.540736309571304,171.60566689492768,16001.232167684457,1,530610420061,530610518023,America/Los_Angeles,America/Los_Angeles,78.0,021230030002122322,021230030020312110,"{\"method\":\"gps\",\"aid_type\":\"IDFA\"}"
1be16d6dc92bcdcf112ca8fb93b3e5db,1d0325a6eec90a6668afecdaef67d9d9,74071a673307ca7459bcf75fbd024e09,1,2022-05-18T14:33:20.000Z,3,2022-05-18T14:55:00.000Z,3,47.76,-122.176,47.906,-122.292,EE,1,1,1,2,"","",0,52.08182349841561,97.73630924135925,18807.325152205634,1,530330218022,530610420011,America/Los_Angeles,America/Los_Angeles,216.66666666666666,021230030023333001,021230030002122120,"{\"method\":\"gps\",\"aid_type\":\"IDFA\"}"
03f4a6c516948d9bf36f67aa8bc7ea92,1fe054b5c5e597687d063bc0f8296b7c,74071a673307ca7459bcf75fbd024e09,1,2022-05-17T00:16:45.000Z,1,2022-05-17T00:33:04.000Z,1,47.883,-122.28,47.773,-122.295,EE,1,1,1,2,"","",2,75.28819788406942,222.78986984056445,20474.207146806657,1,530610420051,530330204021,America/Los_Angeles,America/Los_Angeles,57.58823529411765,021230030002321123,021230030022302032,"{\"method\":\"fused\",\"aid_type\":\"AAID\"}"
fff2af6dfedb8d8a8a8d3cd0f1ca387f,20c005a9877ca26db4e5b099828320a2,74071a673307ca7459bcf75fbd024e09,1,2022-05-18T13:34:49.000Z,3,2022-05-18T14:08:01.000Z,3,47.88,-122.273,47.88,-122.273,EE,1,1,1,2,"","",3,36.455075774710835,175.26455491104457,20171.808595339997,1,530610419013,530610419013,America/Los_Angeles,America/Los_Angeles,94.85714285714286,021230030002330230,021230030002330230,"{\"method\":\"fused\",\"aid_type\":\"AAID\"}"
86598d594f109d8e48d691794e8b95d2,23f810088055b6983ddc751f1d3e7fdb,74071a673307ca7459bcf75fbd024e09,1,2022-05-18T19:16:46.000Z,3,2022-05-18T20:33:34.000Z,3,47.369,-122.186,47.929,-122.273,EE,1,1,1,2,"","",2,59.43456591913957,221.96207561347296,76076.24437649865,1,530330295034,530610413042,America/Los_Angeles,America/Los_Angeles,86.94339622641509,021230032021132232,021230030002110031,"{\"method\":\"gps\",\"aid_type\":\"IDFA\"}"
